N° Formulaire;Genre;Âge;Taille (m);Poids (kg);IMC;Activité physique;Régime particulier;Végé;Fréquence CROUS;Equilibre alim;Seule ou en groupe;Nb groupe entrée;Proximité;Connaissance;Parti groupe;Influ sociale;Percept senso;Nb file;Faim;Stress;Nb convives;Ami 1;Ami 2;Ami 3;Ami 4;Ami 5;
3Y2X;M;19;1,85;60;17,53104456;Faible;Non;Non;Au moins 1 fois par semaine;Pas du tout;Groupe;3;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas;Oui, très faim;Oui, très;2;4A5F;;;;;
3O6S;M;19;1,7;100;34,60207612;Aucune;Non;Non;Tous les jours ou presque;Pas du tout;Groupe ;6;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, je ne pense pas;Oui, assez faim;Plutôt non;6;2Y1K;6K3Y;7A7P;7M6P;8T4H;
7A7P;M;18;1,92;76;20,61631944;Importante;Non;Non;Tous les jours ou presque;Un peu;Groupe;6;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Non, je ne pense pas;Oui, très faim;Non;6;6K3Y;2Y1K;3O6S;7M6P;8T4H;
6K3Y;M;19;1,87;77;22,01950299;Importante;Non;Non;Au moins 1 fois par semaine;Moyennement ;Groupe;6;Oui;Oui;Oui;Peu influencé;Peu influencé;Plutôt oui;Oui, mais très peu;Plutôt oui;6;7A7P;2Y1K;3O6S;7M6P;8T4H;
2Y1K;M;18;1,82;70;21,13271344;Modérée;Non;Non;Tous les jours ou presque;Moyennement ;Groupe ;6;Oui;Oui;Oui;Moyennement influencé;Très influencé;Non, pas trop;Oui, très faim;Non;6;6K3Y;3O6S;7M6P;8T4H;7A7P;
7M6P;M;19;1,91;85;23,2997999;Modérée;Non;Non;Tous les jours ou presque;Un peu;Groupe;6;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Plutôt oui;Oui, assez faim;Non;6;7A7P;6K3Y;2Y1K;3O6S;8T4H;
4D9G;M;22;1,8;62;19,13580247;Modérée;Non;Non;Tous les jours ou presque;Moyennement ;Groupe;3;Oui;Oui;Oui;Moyennement influencé;Peu influencé;Oui, tout à fait;Oui, très faim;Plutôt non;2;5P2B;;;;;
5P2B;M;24;1,69;65;22,75830678;Modérée;Non;Non;Tous les jours ou presque;Moyennement ;Groupe;3;Oui;Oui;Oui;Pas influencé;Pas influencé;Oui, tout à fait;Oui, très faim;Plutôt non;2;4D9G;;;;;
9W3C;M;18;1,75;55;17,95918367;Importante;Non;Non;Tous les jours ou presque;Pas du tout;Groupe;3;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas;Oui, très faim;Non;3;6I6Y;4L5H;;;;
6A3C;F;19;1,67;75;26,89232314;Faible;Oui;Non;Tous les jours ou presque;Moyennement ;Groupe;3;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas ;Oui, assez faim;Plutôt non;3;2W9Z;9Z3Q;;;;
0H8R;F;22;1,57;45;18,25631871;Faible;Non;Non;Tous les jours ou presque;Pas du tout;Groupe ;6;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas;Oui, très faim;Non;6;1Y9W;6V9Q;4H1X;1C3K;8N4I;
8N4I;F;21;1,9;90;24,93074792;Modérée;Non;Non;Tous les jours ou presque;Moyennement ;Groupe ;6;Non;Non;Non;Pas influencé;Moyennement influencé;Non, je ne pense pas ;Oui, très faim;Plutôt non;6;6V9Q;4H1X;1Y9W;1C3K;0H8R;
1C3K;M;19;1,69;73;25,55932916;Modérée;Non;Non;Tous les jours ou presque;Pas du tout;Groupe;6;Oui;Oui;Oui;Très influencé;Moyennement influencé;Oui, tout à fait;Oui, très faim;Plutôt oui;6;4H1X;0H8R;1Y9W;6V9Q;8N4I;
4H1X;M;19;1,87;75;21,44756785;Modérée;Non;Non;Tous les jours ou presque;Pas du tout;Groupe;6;Oui;Oui;Oui;Pas influencé;Pas influencé;Oui, tout à fait;Oui, très faim;Non;6;6V9Q;1Y9W;1C3K;0H8R;8N4I;
1Y9W;F;20;1,65;61;22,40587695;Modérée;Non;Non;Tous les jours ou presque;Moyennement ;Groupe ;6;Oui;Oui;Oui;Pas influencé;Très influencé;Plutôt oui;Oui, assez faim;Oui, très;6;6V9Q;8N4I;0H8R;1C3K;4H1X;
7J8M;M;21;1,71;60;20,51913409;Faible;Oui;Non;Au moins 1 fois par semaine;Un peu;Groupe;2;Oui;Oui;Oui;Pas influencé;Peu influencé;Plutôt oui;Oui, mais très peu;Plutôt non;2;2C0W;;;;;
9Z3Q;F;18;1,7;53;18,33910035;Faible;Non;Non;Tous les jours ou presque;Moyennement ;Groupe;3;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, pas trop;Oui, très faim;Plutôt oui;3;6A3C;2W9Z;;;;
