coeff_autre_moyenne,coeff_autre_sociale_et,coeff_amis_moyenne,coeff_amis_et,influence_sociale_moyenne,influence_sociale_et,influence_env_moyenne,influence_env_et,delta_moyenne,delat_et,choix_personnel_moyenne,choix_personnel_et,proba_depassement1point,proba_manque1point,proba_depassement2points,force_perception_plat,proba_autre_entree,proba_autre_dessert,proba_encore,temps_entre_groupes,seuil_influence_etudiant_queue,Charcuterie_correction,Crudites_correction,Entree_poisson_correction,Salade_feculents_correction,Viande___correction,Pizza_correction,Accompagnement___correction,Accompagnement_correction,Viande_correction,Poisson_correction,Vege_correction,Fruit_correction,Produit_laitier_correction,Creme_dessert_correction,Fruits_gourmands_correction,Dessert_gourmand_correction,Fromage_correction,fitness
0.8,0.3,0.3,0.4,0.4,0.4,1.0,0.8,0.7,0.9,0.1,0.2,0.6,0.7,0.9,0.3,0.0,0.7,0.8,13.0,8,0.35,0.8,0.9,-0.3,0.45,0.45,0.65,-0.65,0.45,0.35,-0.85,0.2,-0.8,-0.35,-0.75,-0.7,-0.05,269.0
0.6,0.9,0.4,0.6,0.5,0.3,0.3,0.2,1.0,0.2,0.8,0.4,0.1,0.6,0.2,2.8,0.7,0.8,0.3,50.0,3,-0.75,0.9,-0.25,-0.2,0.6,-0.45,0.75,0.15,0.4,-0.35,-0.45,0.15,0.45,0.6,1.0,-1.0,0.9,332.0
0.8,0.5,0.2,0.4,0.4,0.2,0.6,0.4,0.5,0.9,0.9,0.3,0.5,1.0,0.8,2.3,1.0,0.5,0.6,10.0,5,0.6,-0.95,0.65,-0.9,-0.5,0.5,-0.35,0.2,0.4,0.55,-0.7,-0.85,0.25,0.65,-0.95,-0.5,0.6,324.0
0.6,0.2,0.2,0.4,0.6,0.2,0.5,0.7,0.6,1.0,0.4,0.4,0.7,0.3,0.7,0.2,0.9,0.6,0.8,49.0,3,-0.6,0.85,-0.55,0.1,0.85,0.85,-0.05,0.2,-0.75,0.05,0.85,0.6,0.7,0.1,-1.0,0.35,0.45,332.0
0.2,0.6,0.6,0.4,0.7,0.6,0.9,0.4,0.9,0.7,0.6,0.9,0.4,1.0,0.5,2.5,0.5,0.6,0.4,14.0,4,0.4,0.65,0.5,-0.7,0.35,-0.15,-0.35,0.85,1.0,0.6,0.15,0.7,0.2,0.45,-0.15,-0.05,-0.7,267.0
0.5,0.8,0.0,0.4,0.1,0.5,0.9,0.7,0.5,0.3,1.0,0.1,0.3,0.6,0.9,1.5,0.6,0.3,0.2,21.0,9,0.8,0.35,0.5,0.55,-0.15,0.45,0.9,-0.4,-0.45,0.1,-0.65,-0.8,-0.45,-0.45,0.95,0.0,0.65,296.0
0.0,0.6,0.5,0.5,0.1,0.2,0.8,0.2,0.8,0.5,0.1,0.0,0.6,0.9,0.2,2.8,0.2,0.3,0.8,11.0,6,0.4,0.65,0.3,-0.2,-0.15,0.4,-0.7,-0.15,-0.6,-0.25,0.4,-0.85,-0.15,-0.4,-0.7,0.75,-0.3,194.0
0.4,0.8,0.7,0.0,0.6,0.8,0.9,1.0,0.7,0.1,0.8,0.8,0.8,0.1,0.8,0.9,0.6,0.1,0.1,33.0,9,0.9,0.05,-0.75,0.95,-0.4,-0.35,-0.85,-0.75,-0.7,-0.55,0.55,0.85,0.4,-0.05,0.7,-0.75,0.3,285.0
1.0,0.4,0.1,0.8,0.7,0.5,0.9,0.6,0.0,0.2,0.2,0.4,0.4,0.2,0.1,1.0,0.8,0.7,0.1,56.0,4,0.55,-0.2,-0.9,0.5,-0.9,0.4,-0.45,-0.4,0.05,0.45,-0.65,0.15,0.6,0.95,-0.6,-0.15,0.4,316.0
0.6,0.5,0.9,1.0,0.8,0.8,0.3,0.9,0.3,0.8,0.8,0.6,0.7,0.5,0.8,0.8,0.1,0.4,0.6,18.0,7,-0.95,0.95,-0.35,-0.65,-0.4,-1.0,0.6,-0.75,0.75,0.35,0.1,-0.55,0.85,-0.25,-0.45,-0.2,0.0,341.0
0.0,0.7,0.9,0.0,0.5,0.2,0.2,1.0,0.8,0.3,0.2,0.1,0.9,1.0,0.3,1.2,1.0,0.6,0.6,59.0,4,0.25,0.0,1.0,0.3,-0.75,0.8,0.3,-0.55,0.35,-0.05,0.3,-0.85,-0.3,1.0,0.25,-0.35,-1.0,343.0
0.9,0.9,0.4,1.0,0.1,0.6,0.5,0.4,0.9,0.3,0.8,0.8,0.2,0.6,0.3,2.6,0.2,0.8,0.6,58.0,10,0.15,-0.25,0.45,0.15,0.35,1.0,-0.8,-0.6,-0.95,0.05,0.5,0.0,-0.9,0.7,0.5,0.65,-1.0,325.0
0.2,0.3,0.3,0.9,0.9,0.3,0.0,0.3,0.5,0.8,0.2,0.3,0.2,1.0,0.1,2.8,1.0,0.4,0.5,55.0,6,0.6,0.35,-0.65,-0.6,0.65,0.3,-0.75,-0.35,-0.35,0.2,-0.15,0.65,-0.15,-0.9,0.85,-0.8,-0.25,349.0
0.9,1.0,0.8,0.9,0.8,0.4,0.8,0.6,0.5,0.0,0.1,0.7,0.5,0.2,0.8,0.0,0.7,0.5,0.7,31.0,6,-0.65,-0.1,-1.0,0.85,0.5,0.3,0.45,-0.6,-0.3,-0.15,-0.05,0.55,-0.6,-0.2,-0.05,-0.9,-0.2,279.0
0.2,0.4,0.7,0.8,0.5,0.4,0.8,0.4,0.7,0.0,0.7,0.3,0.1,0.3,0.1,0.8,0.8,0.4,0.7,48.0,8,0.75,0.25,0.35,0.9,0.3,-0.05,0.6,-0.15,0.0,-0.35,-0.1,0.45,0.05,0.2,-0.05,0.05,-0.75,284.0
0.9,0.1,0.8,0.4,0.7,0.0,1.0,0.5,0.1,0.2,0.4,0.6,0.7,0.9,0.1,2.3,0.1,0.1,0.3,15.0,9,0.75,0.9,0.75,0.55,-0.05,0.0,0.1,-0.05,-0.85,-0.8,0.65,0.15,0.2,-0.3,-0.85,0.2,-0.6,204.0
0.3,0.6,0.1,0.4,0.4,0.2,0.7,0.2,0.5,0.2,0.9,0.5,0.7,0.3,0.9,1.9,0.8,0.1,0.8,35.0,5,-0.1,0.6,-0.2,-0.9,-0.8,0.5,0.25,0.4,0.65,0.75,-0.8,0.85,-0.9,0.35,-0.8,-0.3,0.9,328.0
0.3,0.6,0.2,0.5,0.5,0.5,0.3,0.0,0.9,0.4,0.6,0.7,0.0,0.7,0.2,0.9,0.5,0.6,0.1,23.0,10,0.45,0.65,0.0,-0.85,-0.85,0.35,0.8,-0.35,-0.3,0.3,-0.5,0.45,0.1,0.25,-0.8,-0.5,-0.1,330.0
0.6,0.5,0.7,0.6,0.3,0.6,0.9,0.0,0.5,0.1,0.6,0.4,0.4,1.0,1.0,2.9,0.4,0.9,0.5,30.0,3,1.0,0.7,-0.25,-0.65,0.25,-0.6,0.75,-0.45,-0.65,0.25,0.1,-0.15,-0.5,0.75,-0.65,0.65,0.9,301.0
0.1,0.5,0.4,0.5,0.4,0.2,0.8,0.0,0.4,0.4,0.5,0.2,0.7,0.6,0.6,0.9,0.6,0.2,0.5,55.0,5,-0.45,-0.55,0.85,-0.8,0.2,0.45,0.0,-0.55,-1.0,0.25,0.65,0.9,0.35,-0.3,0.5,0.9,0.4,278.0
0.6,0.2,0.3,0.9,0.5,0.6,0.5,0.1,0.9,1.0,0.8,0.2,1.0,0.5,0.8,0.1,0.3,0.1,0.6,36.0,4,0.35,-0.35,0.45,0.35,-0.65,-0.35,0.95,-0.85,0.95,0.0,0.85,-0.1,-0.1,0.1,0.7,-0.85,0.15,280.0
