Horodateur;Numéro de formulaire;ENTREE;Prise en double de l'entrée ;PLAT ;DESSERT;Prise en double du dessert
  12:30:58;9V8W;Chou blanc;Non;Roti de légumes au tofu + Spaghettis;Pas de dessert;Non
  12:33:56;8B5X;Pas d'entrée;Non;Roti de légumes au tofu + Spaghettis;Roquefort + Pruneaux en sirop ;Non
  12:34:46;6X9F;Rillette poisson;Non;Poisson pané + Spaghettis + Mousseline de potiron;Crème praliné + Orange;Oui
  12:35:27;7B7K;Mini sandwich;Non;Filet de poulet + Spaghettis + Mousseline de potiron;Yaourt nature Bio + Crème praliné;Non
  12:35:56;3Q7Q;Mini sandwich;Non;Poisson pané + Spaghettis + Mousseline de potiron;Banane;Non
  12:36:59;1C8S;Betterave;Non;Poisson pané + Spaghettis + Mousseline de potiron;Pruneaux en sirop + Pomme;Non
  12:37:48;OL7Y;Pas d'entrée;Non;Poisson pané + Spaghettis;Roquefort + Banane + Pomme ;Oui
  12:39:19;9E7A;Mini sandwich;Non;Poisson pané + Spaghettis + Mousseline de potiron;Yaourt nature Bio + Banane;Oui
  12:40:23;4B5E;Salade de pommes de terre;Non;Poisson pané + Spaghettis + Mousseline de potiron;Compote ;Non
  12:40:41;607K;Betterave;Non;Filet de poulet + Spaghettis + Mousseline de potiron;Yaourt nature Bio + Pruneaux en sirop;Oui
  12:41:08;9P2T;Champignons;Non;Poisson pané + Spaghettis + Mousseline de potiron;Cantal AOP + Kiwi;Non
  12:41:48;8X9Z;Pas d'entrée;Non;Poisson pané + Spaghettis + Mousseline de potiron;Roquefort + Yaourt nature Bio;Non
  12:42:09;1G7J;Betterave;Non;Filet de poulet + Spaghettis + Mousseline de potiron;Crème praliné + Banane;Oui
  12:42:12;6O7K;Betterave;Non;Filet de poulet + Spaghettis + légumes;Yaourt nature Bio + Pruneaux en sirop;Non
  12:43:06;7J8O;Salade de pommes de terre;Non;Filet de poulet + Mousseline de potiron;Banane ;Non
  12:44:22;6V3U;Champignons;Non;Poisson pané + Spaghettis + Mousseline de potiron;Cantal AOP + Yaourt nature Bio;Oui
  12:45:12;7S0F;Rillette poisson;Non;Filet de poulet + Spaghettis + Mousseline de potiron;Cantal AOP + Banane;Non
  12:45:15;2J2Y;Pas d'entrée;Non;Filet de poulet + Spaghettis + Mousseline de potiron;Cantal AOP + Orange;Oui 
  12:46:04;7I1E;Salade de pommes de terre;Non;Filet de poulet + Spaghettis + Mousseline de potiron;Roquefort;Non
