,Plat,Regroupement,appellation article
Entrées,Choux blanc à la japonaise,Crudités,raw vegetable salads
,salade de chou,Crudités,raw vegetable salads
,Chou blanc,Crudités,raw vegetable salads
,Chou,Crudités,raw vegetable salads
,Salade lentilles,Crudités,raw vegetable salads
,Champignons à l'italienne,Crudités,raw vegetable salads
,Champignons,Crudités,raw vegetable salads
,Betterave,Crudités,raw vegetable salads
,Carottes râpées,Crudités,raw vegetable salads
,Carottes rapees,Crudités,raw vegetable salads
,Carottes_rapees,Crudités,raw vegetable salads
,Artichauts,Crudités,raw vegetable salads
,Coeurs de palmiers,Crudités,raw vegetable salads
,Salade de tomates,Crudités,raw vegetable salads
,Tomates,Crudités,raw vegetable salads
,salade,Crudités,raw vegetable salads
,Salade de pommes de terre,Salade féculents,starchy salads
,Salade de riz,Salade féculents,starchy salads
,Salade pates,Salade féculents,starchy salads
,Salade de pates,Salade féculents,starchy salads
,Oeuf mimosa,Charcuterie,Cold Cuts
,Oeuf_mimosa,Charcuterie,Cold Cuts
,Rillette poisson,Charcuterie,Cold Cuts
,Rillettes poisson,Charcuterie,Cold Cuts
,Saumon,Charcuterie,Cold Cuts
,Surimi,Charcuterie,Cold Cuts
,Mini sandwich,Charcuterie,Cold Cuts
,Paté,Charcuterie,Cold Cuts
,Pâté,Charcuterie,Cold Cuts
,Jambon,Charcuterie,Cold Cuts
,Jambon_bayonne,Charcuterie,Cold Cuts
,rillettes_poulet,Charcuterie,Cold Cuts
,Salami,Charcuterie,Cold Cuts
Plats principaux,Cordon bleu,Viande,Meat
,Escalope viennoise,Viande,Meat
,Filet de poulet,Viande,Meat
,Emince_poulet,Viande,Meat
,Boeuf bourguignon,Viande,Meat
,Boulettes viande,Viande,Meat
,Faux-filet,Viande,Meat
,Bavette,Viande,Meat
,Steak_hache,Viande,Meat
,Entrecôte,Viande,Meat
,Kebab,Viande,Meat
,Hamburger,Viande,Meat
,Feuilleté Saumon oseille,Poisson,Fish
,Pavé de cabillaud,Poisson,Fish
,Pavé de poisson bordelaise,Poisson,Fish
,Poisson pané,Poisson,Fish
,Brandade de poisson,Poisson,Fish
,Pizza merguez poivrons,Viande,Meat
,Pizza raclette,Viande,Meat
,Pizza,Viande,Meat
,Pizza_fromage,Vege,Vegetarian dish
,Pizza Kebab,Viande,Meat
,Risotto courgettes,Vege,Vegetarian dish
,Tajine végé,Vege,Vegetarian dish
,Roti de légumes au tofu,Vege,Vegetarian dish
,Roti légumes tofu,Vege,Vegetarian dish
,Hamburger,Vege,Vegetarian dish
,Burger végé,Vege,Vegetarian dish
,Torsades,Accompagnement,-
,Spaghettis,Accompagnement,-
,Julienne de légumes,Accompagnement,-
,Poelee brocolis ,Accompagnement,-
,Ratatouille,Accompagnement,-
,Brocolis,Accompagnement,-
,légumes,Accompagnement,-
,Mousseline de potiron,Accompagnement,-
,Riz,Accompagnement,-
,Pommes de terre vapeur,Accompagnement,-
,Frites,Accompagnement +,-
,Salade verte,Accompagnement +,-
,Salade,Accompagnement +,-
Desserts,Yaourt aux fruits,Produit laitier,Fresh dairy
,Yaourt_fruits,Produit laitier,Fresh dairy
,Yaourt aux fruits en morceaux,Produit laitier,Fresh dairy
,Banane,Fruit,Fruit
,Oeuf à la neige,Dessert gourmand,Gourmet dessert
,Faisselle nature,Produit laitier,Fresh dairy
,Yaourt nature sucré,Produit laitier,Fresh dairy
,Fromage blanc fruits rouges,Produit laitier,Fresh dairy
,Fromage_blanc_fr,Produit laitier,Fresh dairy
,Pomme golden,Fruit,Fruit
,Pomme granny,Fruit,Fruit
,Pomme Gala,Fruit,Fruit
,Pomme,Fruit,Fruit
,Flanc chocolat,Crème dessert,Dairy cream
,Mimolette,Fromage,Cheese
,Tomme,Fromage,Cheese
,Orange,Fruit,Fruit
,Kiwi,Fruit,Fruit
,Madeleine,Dessert gourmand,Gourmet dessert
,Mousse noix de coco,Crème dessert,Dairy cream
,Liégeois café,Crème dessert,Dairy cream
,Petit suisse nature,Produit laitier,Fresh dairy
,Compote,Fruit,Fruit
,Fromage blanc,Produit laitier,Fresh dairy
,Tarte aux fruits,Dessert gourmand,Gourmet dessert
,Carrot_cake,Dessert gourmand,Gourmet dessert
,Tiramisu_banane,Dessert gourmand,Gourmet dessert
,Gateau_semoule,Dessert gourmand,Gourmet dessert
,Gâteau de semoule,Crème dessert,Dairy cream
,Paris Brest,Dessert gourmand,Gourmet dessert
,Paris_brest,Dessert gourmand,Gourmet dessert
,Poire,Fruit,Fruit
,Fromage blanc nature,Produit laitier,Fresh dairy
,Crème praliné,Crème dessert,Dairy cream
,Cocktail Fruits exotiques,Fruit,Fruit
,Pruneaux en sirop,Fruit,Fruit
,Pruneaux au sirop,Fruit,Fruit
,Emmental,Fromage,Cheese
,Bleu d'Auvergne AOP,Fromage,Cheese
,Roquefort,Fromage,Cheese
,Cantal AOP,Fromage,Cheese
,Mousse,Crème dessert,Dairy cream
,Liégeois,Crème dessert,Dairy cream
,Yaourt nature Bio,Produit laitier,Fish
,Yaourt nature,Produit laitier,Fish
