Numero questionnaire;Plat 1;Plat 2;Plat 3;Hors etudiant;Autre Ã©ventuellement;Heure départ;Genre;Régime;Fréquentation;Faim;Connaissance entourage;Influence entourage;Influence aspect;Quantité;Equilibre;Aspect;Attente;Convives;;;;;;;
C02;Salade soja;Cabillaud semoule;fruit;;;12:39;Homme;non;1à3;6;oui;non;non;7;8;0;6;C01;;;;;;;
C06;Salade riz;Cabillaud semoule;;;;;;;;;;;;;;;;;;;;;;;
C04;Saucisson;Chipo semoule;Mousse chocolat;;;;;;;;;;;;;;;;;;;;;;
C12;;Chipo semoule;Emmental;;;;;;;;;;;;;;;;;;;;;;
C07;Salade riz;Cabillaud semoule;yaourt;;;;;;;;;;;;;;;;;;;;;;
C09;Endives;Chipo semoule;Donut;;;;;;;;;;;;;;;;;;;;;;
C02;rien;Chipo semoule;yaourt;;;;;;;;;;;;;;;;;;;;;;
C08;Salade riz;Chipo semoule;Emmental;;;;;;;;;;;;;;;;;;;;;;
C14;Salade riz;lasagnes vg;Chaource;;;;;;;;;;;;;;;;;;;;;;
C19;Carottes;lasagnes vg;yaourt;;;12:17;Homme;oui;>3;7;non;non;non;7;è;3;1;C20;;;;;;;
C11;Endives;;;;;;;;;;;;;;;;;;;;;;;;
C04;Saucisson;Chipo semoule;Mousse chocolat;;;;;;;;;;;;;;;;;;;;;;
C10;Salade riz;Cabillaud semoule;Emmental;;;;;;;;;;;;;;;;;;;;;;
C03;rien;Cabillaud semoule;rien;;;;;;;;;;;;;;;;;;;;;;
C21;;Chipo semoule;Donut;;;12:48;Femme;non;>3;7;oui;non;non;3;2;5;4;C22;;;;;;;
C17;;;;Pizza;;12:26;Femme;oui;>3;8;NSPP;oui;oui;8;7;NSPP;8;C18;;;;;;;
C22;Salade soja;lasagnes vg;Crème dessert;;;12:47;Homme;non;>3;7;oui;oui;oui;4;7;5;5;C21;;;;;;;
C25;Carottes;Cabillaud semoule;fruit;;;12:25;Homme;non;>3;9;oui;non;non;7;3;9;9;C24;C26;C27;;;;;
C24;Salade riz;Chipo semoule;Donut;;;12:25;Femme;non;>3;NSPP;non;non;oui;6;8;7;9;C25;C26;C27;;;;;
C29;Carottes;Chipo semoule;fruit;;;12:16;Homme;non;>3;7;oui;non;oui;7;8;3;NSPP;C33;;;;;;;
C26;Salade riz;Cabillaud semoule;fruit;;;12:26;Homme;non;1à3;4;oui;non;oui;4;7;6;3;C24;C25;C27;;;;;
C30;;Chipo semoule;yaourt;;;12:18;Homme;non;>3;6;oui;non;oui;5;4;6;8;C31;C32;;;;;;
C31;;Chipo semoule;Emmental;;;12:19;Homme;non;<1;7;oui;oui;oui;7;2;6;5;C30;C32;;;;;;
C32;Carottes;Chipo semoule;yaourt;;;12:19;Homme;non;<1;6;oui;non;non;6;6;6;2;C30;C31;;;;;;
A03;Salade soja;lasagnes vg;Tarte frboises/ananas;;;12:18;Homme;oui;>3;9;oui;oui;oui;9;3;6;3;A02;A01;;;;;;
A04;Salade riz;Chipo semoule;Crème crÃ©ole;;;;;;;;;;;;;;;;;;;;;;
A02;Salade soja;lasagnes vg;yaourt;;;12:19;Femme;non;>3;5;oui;oui;oui;1;3;6;6;A01;A03;;;;;;
A01;Carottes;lasagnes vg;fruit;;;12:18;NSPP;oui;>3;7;oui;non;oui;7;8;6;3;A03;A02;;;;;;
C34;Carottes;Chipo semoule;Chaource;;;;;;;;;;;;;;;;;;;;;;
A12;Carottes;Chipo semoule;fruit;;;;;;;;;;;;;;;;;;;;;;
A08;Salade riz;lasagnes vg;fruit;;;;;;;;;;;;;;;;;;;;;;
A13;Endives;Chipo semoule;Tarte frboises/ananas;;;;;;;;;;;;;;;;;;;;;;
A14;Saucisson;Cabillaud semoule;fruit;;;;;;;;;;;;;;;;;;;;;;
A16;;lasagnes vg;fruit;;;12:30;Femme;non;>3;5;oui;non;oui;3;8;8;10;A15;A17;;;;;;
A17;Salade soja;lasagnes vg;fruit;;;12:30;Homme;non;>3;9;oui;non;non ;5;10;10;7;A16;A15;;;;;;
A15;Carottes;Chipo semoule;Mousse chocolat;;;12:30;Homme;non;1à3;8;non;non;oui;NSPP;10;10;6;A17;A16;;;;;;
A22;Saucisson;lasagnes vg;yaourt;;;12:30;Homme;non;>3;7;oui;non;oui;7;8;8;5;;;;;;;;
A29;;Chipo semoule;yaourt;;;12:24;Homme;non;<1;5;oui;non;oui;5;7;7;3;A26;A27;A28;;;;;
A24;Saucisson;Chipo semoule;Mousse chocolat;;;12:29;Homme;non;>3;8;oui;oui;oui;4;4;9;7;A25;;;;;;;
A25;Saucisson;Chipo semoule;fruit;;;12:29;Femme;non;>3;6;oui;non;oui;5;5;5;10;A24;;;;;;;
A28;;Chipo semoule;fruit;;;14:24;Femme;non;<1;6;oui;non;oui;0;5;7;5;A26;A27;A29;;;;;
A30;Salade riz;Cabillaud semoule;;;;;;;;;;;;;;;;;;;;;;;
A26;;Chipo semoule;yaourt;;;12:24;Femme;non;<1;5;oui;non;oui;2;7;7;3;A27;A28;A29;;;;;
A27;Saucisson;Chipo semoule;yaourt;;;12:24;Homme;non;<1;7;oui;oui;oui;9;6;4;10;A26;A28;A29;;;;;
A35;;lasagnes vg;Mousse chocolat;;;;;;;;;;;;;;;;;;;;;;
A34;rien;Chipo semoule;fruit;;;12:35;Homme;non;>3;9;oui;non;oui;7;3;8;5;A35;A37;A36;;;;;
A33;Carottes;Cabillaud semoule;yaourt;;;12:44;Femme;non;>3;7;oui;non;oui;5;8;9;6;A32;;;;;;;
A32;Carottes;Cabillaud semoule;Emmental;;;12:44;Femme;oui;>3;8;non;non;oui;9;8;6;7;A33;;;;;;;
A40;rien;Cabillaud semoule;;;;12:28;Homme;oui;>3;5;non;non;oui;8;6;7;5;NSPP;;;;;;;
A42;Saucisson;Chipo semoule;;;;12:40;Homme;non;<1;8;oui;non;non;7;7;3;8;NSPP;;;;;;;
A41;Saucisson;lasagnes vg;Mousse chocolat;;;;;;;;;;;;;;;;;;;;;;
A51;rien;Chipo semoule;;;;13:00;Femme;non;>3;8;oui;non;oui;5;5;5;5;B47;B45;B46;B48;;;;
A46;Salade riz;Chipo semoule;;;;12:27;Homme;non;>3;6;non;non;oui;8;4;7;10;;;;;;;;
A55;Carottes;lasagnes vg;Chaource;;;12:32;Homme;oui;>3;8;non;non;non;8;10;6;7;;;;;;;;
A74;Salade riz;Cabillaud semoule;Mousse chocolat;;;12:53;Femme;oui;1à3;6;oui;oui;oui;5;6;6;7;A75;;;;;;;
A59;rien;lasagnes vg;yaourt;;;12:38;NB;oui;>3;3;non;non;oui;6;4;7;1;A59;C01;C02;A57;;;;
A49;Endives;lasagnes vg;yaourt;;;13:22;Homme;non;>3;6;non;non;non;2;5;5;4;;;;;;;;
A73;rien;Cabillaud semoule;fruit;;;13:04;Homme;non;1à3;7;non;non;non;6;8;5;0;B76;B74;B75;;;;;
A76;Sardines;Cabillaud semoule;Mousse chocolat;;;12:41;Homme;oui;>3;6;non;non;oui;7;6;5;5;;;;;;;;
A78;rien;Chipo semoule;fruit;;;;;;;;;;;;;;;;;;;;;;
