N° Formulaire;Genre ;Âge;Taille (m);Poids (kg);IMC;Activité physique;Régime particulier;Végé;Fréquence CROUS ;Equilibre alim;Seule ou En groupe;Nb groupe entrée;Proximité;Connaissance;Parti groupe;Influ sociale;Percept senso;Nb file;Faim;Stress;Nb convives;Ami 1;Ami 2;Ami 3;Ami 4;Ami 5;;;;;;;;;;;;
8S7P;M;27;1,8;70;21,60493827;Modérée;Non;Non;Tous les jours ou presque;Très attention;En groupe;4;Non;Oui;Oui;Pas influencé;Moyennement influencé;Non, je ne pense pas;Oui, assez faim;Non;4;3Q5T;8D7X;3U9V;;;;;;;;;;;;;;
3U9V;M;24;1,8;70;21,60493827;Modérée;Non;Non;Tous les jours ou presque;Moyennement;En groupe;4;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Non,pas trop;Oui, assez faim;Plutôt non;4;8D7X;3Q5T;8S7P;;;;;;;;;;;;;;
3Q5T;M;29;1,7;56;19,37716263;Modérée;Non;Non;Tous les jours ou presque;Pas du tout;En groupe;4;Non;Non;Non;Pas influencé;Moyennement influencé;Non, je ne pense pas;Oui, assez faim;Non;4;8D7X;8S7P;3U9V;;;;;;;;;;;;;;
8D7X;M;23;1,85;55;16,07012418;Faible;Non;Non;Tous les jours ou presque;Pas du tout;En groupe;4;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas;Oui, assez faim;Non;4;3U9V;3Q5T;8S7P;;;;;;;;;;;;;;
7R3E;M;25;1,73;82;27,39817568;Importante;Non;Non;Au moins 1 fois par semaine;Moyennement;En groupe;8;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Oui,tout à fait;Oui, mais très peu;Non;3 ? ;5S4C;2C5C;;;;;;;;;;;;;;;
2C5C;M;23;1,78;67;21,14631991;Aucune;Non;Non;Tous les jours ou presque;Moyennement;En groupe;8;Oui;Oui;Oui;Peu influencé;Très influencé;Plutôt oui;Oui, assez faim;Non;3 ?;7R3E;5S4C;;;;;;;;;;;;;;;
8W0W;M;26;1,77;73;23,30109483;Faible;Oui;Non;Tous les jours ou presque;Moyennement;En groupe;2;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas;Oui, assez faim;Plutôt non;2;5J1R;;;;;;;;;;;;;;;;
5J1R;M;28;1,7;83;28,71972318;Modérée;Oui;Non;Tous les jours ou presque;Moyennement;En groupe;2;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas;Oui,très faim;Non;2;8W0W;;;;;;;;;;;;;;;;
2H4R;M;24;1,85;73;21,32943755;Modérée;Oui;Oui;Tous les jours ou presque;Moyennement;Seule ;1;Non;N.A;N.A;N.A;Moyennement influencé;Non,pas trop;Oui,très faim;Plutôt non;1;;;;;;;;;;;;;;;;;
7V9Y;M;20;1,86;56;16,18684241;Aucune;Oui;Non;Tous les jours ou presque;Pas du tout;En groupe;10;Oui;Oui;Oui;Moyennement influencé;Peu influencé;Oui,tout à fait;Oui, assez faim;Plutôt oui;4;8X0N;5Q80;2W1G;;;;;;;;;;;;;;
8X0N;M;21;1,8;62;19,13580247;Faible;Non;Non;Tous les jours ou presque;Moyennement;En groupe;10;Oui;Oui;Oui;Très influencé;Pas influencé;Oui,tout à fait;Oui,très faim;Plutôt oui;4;7V9Y;5Q80;2W1G;;;;;;;;;;;;;;
6X8Q;F;24;1,7;50;17,30103806;Aucune;Non;Non;Tous les jours ou presque;Moyennement;En groupe;8;Oui;Oui;Non;Pas influencé;Pas influencé;Non, je ne pense pas;Oui,très faim;Non;N.A;;;;;;;;;;;;;;;;;
5Q8O;M;19;1,81;59;18,00921828;Modérée;Non;Non;Tous les jours ou presque;Manger équilibré;En groupe;2;Non;N.A;N.A;Pas influencé;Très influencé;Non, je ne pense pas;Oui,très faim;Plutôt oui;4;2W1G;7V9Y;8X0N;;;;;;;;;;;;;;
2W1G;M;19;1,7;60;20,76124567;Faible;Non;Non;Tous les jours ou presque;Un peu;En groupe;2;Oui;Oui;Oui;Pas influencé;Très influencé;Non, je ne pense pas;Oui, assez faim;Plutôt non;4;5Q8O;8X0N;7V9Y;;;;;;;;;;;;;;
2E8R;F;19;1,67;64;22,94811574;Modérée;Non;Non;Tous les jours ou presque;Très attention;En groupe;2;Non;N.A;N.A;Pas influencé;Moyennement influencé;Non, je ne pense pas;Oui, mais très peu;Plutôt non;2;7E5H;;;;;;;;;;;;;;;;
