Catégorie;Plat;Regroupement;appellation article
Entrées;chou;Crudités;raw vegetable salads
Entrées;saladelentilles;Crudités;raw vegetable salads
Entrées;champignons;Crudités;raw vegetable salads
Entrées;betterave;Crudités;raw vegetable salads
Entrées;carottesrapees;Crudités;raw vegetable salads
Entrées;artichauts;Crudités;raw vegetable salads
Entrées;coeursdepalmiers;Crudités;raw vegetable salads
Entrées;tomates;Crudités;raw vegetable salads
Entrées;saladepommesdeterre;Salade féculents;starchy salads
Entrées;saladeriz;Salade féculents;starchy salads
Entrées;saladepates;Salade féculents;starchy salads
Entrées;oeufmimosa;Charcuterie;Cold Cuts
Entrées;rillettepoisson;Charcuterie;Cold Cuts
Entrées;surimi;Charcuterie;Cold Cuts
Entrées;minisandwich;Charcuterie;Cold Cuts
Entrées;pâté;Charcuterie;Cold Cuts
Entrées;salami;Charcuterie;Cold Cuts
Plats principaux;cordonbleu;Viande;Meat
Plats principaux;escalopeviennoise;Viande;Meat
Plats principaux;filetdepoulet;Viande;Meat
Plats principaux;boeufbourguignon;Viande;Meat
Plats principaux;boulettesviande;Viande;Meat
Plats principaux;faux-filet;Viande;Meat
Plats principaux;entrecote;Viande;Meat
Plats principaux;kebab;Viande;Meat
Plats principaux;hamburger;Viande;Meat
Plats principaux;feuilletesaumonoseille;Poisson;Fish
Plats principaux;pavedecabillaud;Poisson;Fish
Plats principaux;pavedepoissonbordelaise;Poisson;Fish
Plats principaux;poissonpane;Poisson;Fish
Plats principaux;pizzamerguezpoivrons;Viande;Meat
Plats principaux;pizzaraclette;Viande;Meat
Plats principaux;pizza;Viande;Meat
Plats principaux;pizzakebab;Viande;Meat
Plats principaux;risottocourgettes;Vege;Vegetarian dish
Plats principaux;tajinevege;Vege;Vegetarian dish
Plats principaux;rotilegumestofu;Vege;Vegetarian dish
Plats principaux;hamburger;Vege;Vegetarian dish
Plats principaux;burgervege;Vege;Vegetarian dish
Plats principaux;torsades;Accompagnement;-
Plats principaux;spaghettis;Accompagnement;-
Plats principaux;juliennedelegumes;Accompagnement;-
Plats principaux;ratatouille;Accompagnement;-
Plats principaux;brocolis;Accompagnement;-
Plats principaux;legumes;Accompagnement;-
Plats principaux;mousselinedepotiron;Accompagnement;-
Plats principaux;riz;Accompagnement;-
Plats principaux;pommesdeterrevapeur;Accompagnement;-
Plats principaux;frites;Accompagnement;-
Plats principaux;saladeverte;Accompagnement;-
Desserts;yaourtauxfruits;Produit laitier;Fresh dairy
Desserts;yaourtauxfruitsenmorceaux;Produit laitier;Fresh dairy
Desserts;banane;Fruit;Fruit
Desserts;oeufalaneige;Dessert gourmand;Gourmet dessert
Desserts;faissellenature;Produit laitier;Fresh dairy
Desserts;fromageblancfruitsrouges;Produit laitier;Fresh dairy
Desserts;fromageblanc;Produit laitier;Fresh dairy
Desserts;pomme;Fruit;Fruit
Desserts;flancchocolat;Crème dessert;Dairy cream
Desserts;mimolette;Fromage;Cheese
Desserts;orange;Fruit;Fruit
Desserts;kiwi;Fruit;Fruit
Desserts;madeleine;Dessert gourmand;Gourmet dessert
Desserts;moussenoixdecoco;Crème dessert;Dairy cream
Desserts;petitsuissenature;Produit laitier;Fresh dairy
Desserts;compote;Fruit;Fruit
Desserts;tarteauxfruits;Dessert gourmand;Gourmet dessert
Desserts;gateaudesemoule;Crème dessert;Dairy cream
Desserts;parisbrest;Dessert gourmand;Gourmet dessert
Desserts;poire;Fruit;Fruit
Desserts;cremepraline;Crème dessert;Dairy cream
Desserts;cocktailfruitsexotiques;Fruit;Fruit
Desserts;pruneauxausirop;Fruit;Fruit
Desserts;emmental;Fromage;Cheese
Desserts;bleudauvergneaop;Fromage;Cheese
Desserts;roquefort;Fromage;Cheese
Desserts;cantalaop;Fromage;Cheese
Desserts;liegeois;Crème dessert;Dairy cream
Desserts;yaourtnature;Produit laitier;Fresh dairy
