;Horodateur;Numéro de formulaire ;ENTREE;PLAT ;DESSERT
0; 12:30:48  ;6P4Y;pasdentrée;torsades+escalopeviennoise;yaourtauxfruits+banane
1; 12:32:01  ;2H8Z;chouxblancàlajaponaise;feuilletésaumonoseille+torsades+poeléebrocolis;œufàlaneige
2; 12:32:45  ;8M4T;saladelentilles+champignons;boeufbourguignon+torsades+poeléebrocolis;faissellenature
3; 12:32:51  ;3G0E;saladelentilles;feuilletésaumonoseille+torsades+poeléebrocolis;œufàlaneige
4; 12:33:28  ;8K6E ;pasdentrée;torsades+poeléebrocolis+escalopeviennoise;yaourtauxfruits+banane
5; 12:33:34  ;2O6T;pasdentrée;feuilletésaumonoseille+torsades;yaourtnaturesucré+œufàlaneige
6; 12:34:07  ;1N8N;champignons;boeufbourguignon+torsades+poeléebrocolis;fromageblancfruitsrouges+banane
7; 12:34:09  ;5P2D;carottesrâpées;boeufbourguignon+torsades;yaourtauxfruits+banane
8; 12:34:30  ;6R0N;pasdentrée;boeufbourguignon+torsades+poeléebrocolis;yaourtauxfruits+pommegolden
9; 12:34:54  ;5U6D;champignons;boeufbourguignon+torsades;yaourtauxfruits
10; 12:34:58  ;5G2Q;pasdentrée;kebab+frites;pasdedessert
11; 12:35:18  ;1T8V;pasdentrée;kebab+frites;pasdedessert
12; 12:35:25  ;8K8L;carottesrâpées;boeufbourguignon+torsades+poeléebrocolis;yaourtnaturesucré+pommegolden
13; 12:35:48  ;5V7A;oeufmimosa;boeufbourguignon+torsades;yaourtauxfruits
14; 12:36:01  ;3L6Q;saladepates;feuilletésaumonoseille+torsades+poeléebrocolis;banane
15; 12:36:17  ;0U9Y;oeufmimosa;feuilletésaumonoseille+torsades+poeléebrocolis;fromageblancfruitsrouges+flancchocolat
16; 12:37:04  ;5B4T;pasdentrée;boeufbourguignon+torsades;fromageblancfruitsrouges+pommegolden
17; 12:38:50  ;4H1P;oeufmimosa;boeufbourguignon+torsades+poeléebrocolis;fromageblancfruitsrouges+pommegolden
18; 12:39:06  ;0B60;pasdentrée;kebab+frites;pasdedessert
19; 12:39:32  ;2Y1W;oeufmimosa;feuilletésaumonoseille+torsades+poeléebrocolis;mimolette+flancchocolat
20; 12:39:36  ;1J5T;oeufmimosa;feuilletésaumonoseille+torsades+ratatouille;fromageblancfruitsrouges+banane
21; 12:40:01  ;8O3V;oeufmimosa;risottocourgettes;banane
22; 12:40:24  ;1B2S;pasdentrée;boeufbourguignon+torsades+poeléebrocolis;fromageblancfruitsrouges+banane
23; 12:40:24  ;0F9P;oeufmimosa;pizzaraclette;yaourtauxfruits+flancchocolat+banane
24; 12:40:46  ;2A1P;pasdentrée;boeufbourguignon+torsades;yaourtauxfruits+fromageblancfruitsrouges+banane
25; 12:413:05  ;4U8Q;pasdentrée;feuilletésaumonoseille+torsades;mimolette+fromageblancfruitsrouges+flancchocolat
26; 12:413:14  ;7D4K;oeufmimosa;boeufbourguignon+torsades;faissellenature+banane
27; 12:413:34  ;8U4I;oeufmimosa;boeufbourguignon+torsades;yaourtauxfruits+banane
28; 12:42:03  ;0B2M;oeufmimosa;boeufbourguignon+torsades+poeléebrocolis;yaourtnaturesucré
29; 12:42:55  ;2M7S;pasdentrée;feuilletésaumonoseille+torsades;yaourtauxfruits+banane
30; 12:43:22  ;3K7S;artichauts;kebab+frites;yaourtauxfruits+banane
31; 12:43:29  ;8N1H;oeufmimosa;feuilletésaumonoseille+torsades+poeléebrocolis;fromageblancfruitsrouges+flancchocolat
32; 12:43:49  ;8P9D;saladepates;feuilletésaumonoseille+torsades+poeléebrocolis;banane
33; 12:44:08  ;4D0S;saladepates;feuilletésaumonoseille+torsades+poeléebrocolis;yaourtauxfruits+banane
34; 12:45:10  ;8N9Q;pasdentrée;kebab+frites;flancchocolat
35; 12:45:34  ;1G6O;saladelentilles+oeufmimosa;boeufbourguignon+torsades+poeléebrocolis;fromageblancfruitsrouges
36; 12:45:54  ;7Z3H;pasdentrée;boeufbourguignon+torsades;mimolette+fromageblancfruitsrouges
37; 12:46:04  ;5Y5L;pasdentrée;boeufbourguignon+torsades+poeléebrocolis;yaourtauxfruits+pommegolden
38; 12:46:19  ;3T0E;pasdentrée;boeufbourguignon+torsades+poeléebrocolis;yaourtauxfruits+pommegolden
39; 12:46:52  ;0C8K;pasdentrée;boeufbourguignon+torsades;yaourtauxfruits+fromageblancfruitsrouges+banane
40; 12:47:21  ;8G8P;pasdentrée;kebab+frites;yaourtauxfruits+pommegolden
41; 12:47:44  ;5D1Z;pasdentrée;kebab+frites;yaourtauxfruits
42; 12:48:20  ;5J3M;pasdentrée;faux-filet+frites;pasdedessert
43; 12:48:50  ;5M7S;saladepates;risottocourgettes;fromageblancfruitsrouges
44; 12:49:13  ;8M0U;oeufmimosa+champignons;boeufbourguignon+torsades+poeléebrocolis;mimolette
45; 12:50:07  ;5W3U;saladelentilles;boeufbourguignon+torsades+poeléebrocolis;mimolette+yaourtauxfruits
46; 12:50:34  ;9R3J;saladelentilles;boeufbourguignon+torsades+poeléebrocolis;fromageblancfruitsrouges
47; 12:50:54  ;6C6J;pasdentrée;boeufbourguignon+torsades+poeléebrocolis;mimolette+yaourtauxfruits
48; 12:513:15  ;9D50;champignons;boeufbourguignon+torsades;faissellenature+flancchocolat
