Horodateur;Numéro de formulaire ;ENTREE;Prise en double de l'entrée ;PLAT ;DESSERT;Prise en double du dessert
  12:42:36;6H0H;Surimi;Non;Boeuf bourguignon + Pommes de terre vapeur + Julienne de légumes ;Orange + Madeleine;Non
  12:43:25;5G0U;Surimi;Non;Filet de poulet + Pommes de terre vapeur;Mousse noix de coco;Non
  12:45:44;7E3P;Chou;Non;Tajine végé ;Liégeois café + Madeleine;Non
  12:48:23;9W1X;Pas d'entrée;Non;Pavé de cabillaud + Pommes de terre vapeur;Pomme granny + Compote;Non
  12:50:37;9V6K;Pas d'entrée;Non;Torsades + Pommes de terre vapeur;Liégeois café;Oui
  12:52:55;8S8P;Surimi;Non;Filet de poulet + Pommes de terre vapeur + Julienne de légumes;Liégeois café + Madeleine;Non
  12:53:27;1M4Q;Pas d'entrée;Non;Pavé de cabillaud + Pommes de terre vapeur + Julienne de légumes;Pomme granny;Non
  12:54:08;7P4Y;Chou;Non;Filet de poulet + Pommes de terre vapeur + Julienne de légumes;Compote + Madeleine;Non
  12:55:38;3Q4U;Surimi;Non;Tajine végé ;Pomme granny + Liégeois café;Non
  12:56:42;8S5L;Salade lentilles;Non;Boeuf bourguignon + Pommes de terre vapeur + Julienne de légumes;Petit suisse nature + Madeleine;Oui
  12:58:02;1G3P;Salade lentilles;Non;Boeuf bourguignon + Pommes de terre vapeur + Julienne de légumes;Orange;Non
  12:58:29;1O2H;Salade lentilles;Non;Filet de poulet + Pommes de terre vapeur + Julienne de légumes;Fromage blanc + Compote;Non
  12:58:39;5L2C;Salade lentilles;Non;Boeuf bourguignon + Pommes de terre vapeur + Julienne de légumes;Pomme granny + Liégeois café;Non
  12:58:49;3W9E;Pas d'entrée;Non;Filet de poulet + Pommes de terre vapeur + Julienne de légumes;Compote;Non
  12:59:44;9J2Z;Pas d'entrée;Non;Boeuf bourguignon + Pommes de terre vapeur + Julienne de légumes;Petit suisse nature + Liégeois café + Compote;Non
  12:59:49;0P1K;Pas d'entrée;Non;Boeuf bourguignon + Pommes de terre vapeur;Liégeois café;Non
  13:00:07;3H8D;Salade lentilles;Non;Boeuf bourguignon + Pommes de terre vapeur + Julienne de légumes;Liégeois café;Non
  13:00:38;0P5K;Pas d'entrée;Non;Filet de poulet + Pommes de terre vapeur;Petit suisse nature + Compote;Oui
  13:13:36;5I1U;Pas d'entrée;Non;Boeuf bourguignon + Pommes de terre vapeur + Julienne de légumes;Pas de dessert;Non
  13:13:46;0J8O;Pas d'entrée;Non;Tajine végé ;Pomme granny + Liégeois café + Compote;Non
