Horodateur;Numero questionnaire;Plat 1;Plat 2;garniture;Plat 3;Hors etudiant;Autre ;Heure départ;Genre;Regime;Fréquentation;Faim;Connaissances;Influence;Influence aspect;Quantité;Equilibré;Aspect;Convive 1;Convive 2;Convive 3;Convive 4;Convive 5;Convive 6;Convive 7;Convive 8;
11:35:32;B23;oeuf mayo;Escalope de porc;pomme de terre;yaourt;;;12:06;Homme;non;>3;10;oui;non;non;5;7;4;B25;B24;B19;;;;;;
11:36:00;B25;oeuf mayo;Escalope de porc;pomme de terre;tarte chocolat;;;12:06;Homme;non;>3;10;oui;non;oui;7;2;10;B23;B24;;;;;;;
11:38:24;B19;oeuf mayo;Escalope de porc;pomme de terre;tarte chocolat;;;12:10;Homme;non;>3;7;oui;non;non;0;0;0;B23;B25;B24;;;;;;
11:40:13;B20;oeuf mayo;Escalope de porc;pomme de terre;;;;;;;;;;;;;;;;;;;;;;;
11:40:42;B21;rien;Escalope de porc;pomme de terre;;;;12:10;Homme;non;1à3;6;oui;non;oui;5;6;7;B20;B22;B24;B17;B18;B19;B23;;
11:41:45;B15;;Escalope de porc;pomme de terre;tarte chocolat;;;12:10;Femme;non;>3;5;oui;non;non;4;5;8;B16;;;;;;;;
11:43:26;B26;;;;tarte chocolat;Grillades;;12:04:00;Femme;non;1à3;10;non;oui;oui;8;7;10;B27;B28;;;;;;;
11:43:27;B17;oeuf mayo;tarte saumon;pomme de terre;;;;12:11;Homme;non;1à3;7;non;non;non;8;8;6;;;;;;;;;
11:43:56;B24;oeuf mayo;Escalope de porc;pomme de terre;yaourt;;;12:06;Homme;non;>3;10;oui;non;non;9;7;8;B23;B25;B19;;;;;;
11:44:10;B28;oeuf mayo;tarte saumon;pomme de terre;;;;12:04:00;Homme;oui;1à3;4;oui;non;non;9;8;9;B26;B27;;;;;;;
11:44:39;B14;;tarte saumon;Les 2;fruit;;;12:20;NB;non;>3;7;non;non;oui;7;9;5;;;;;;;;;
11:45:15;B27;;tarte saumon;pomme de terre;;;;12:04:00;Homme;oui;>3;8;oui;non;oui;8;9;9;B26;B28;;;;;;;
11:46:19;B13;;tarte saumon;pomme de terre;Madeleine;;;11:51;Femme;non;;8;non;non;oui;3;6;4;;;;;;;;;
11:46:36;B16;;tarte saumon;pomme de terre;yaourt;;;12:10;Femme;non;>3;5;oui;non;oui;6;7;5;B15;;;;;;;;
11:47:07;B22;;Escalope de porc;pomme de terre;yaourt;;;12:06;NSPP;non;>3;5;oui;non;oui;0;5;4;;;;;;;;;
11:47:20;B18;rien;Escalope de porc;pomme de terre;fruit;;;12:06;Homme;non;>3;5;oui;non;oui;10;6;7;B20;B21;B22;B17;;;;;
11:47:54;B22;;Escalope de porc;pomme de terre;yaourt;;;;;;;;;;;;;;;;;;;;;;
11:48:17;B12;betteraves pommes echalotes;tarte saumon;pomme de terre;;;;12:02;Homme;oui;>3;8;non;non;oui;9;8;9;;;;;;;;;
11:50:24;B11;oeuf mayo;;;;;;12:03;Homme;non;>3;4;non;non;oui;7;8;8;;;;;;;;;
11:59:41;;;Escalope de porc;Les 2;peche au sirop;;Part pizza en entree ;;;;;;;;;;;;;;;;;;;;
12:00:43 PM;B08;Tomates;Escalope de porc;Les 2;Madeleine;;;12:40;Homme;non;1à3;4;non;non;oui;5;8;7;;;;;;;;;
12:02:42 PM;B09;;;;;;En plat : frites ;13:07;Homme;NSPP;1à3;4;non;non;non;4;4;4;;;;;;;;;
12:04:13 PM;B07;oeuf mayo;Escalope de porc;pomme de terre;;;;12:29;Homme;non;>3;7;oui;non;oui;5;7;6;;;;;;;;;
12:05:03 PM;B06;;;;;Grillades;;12:22;Homme;oui;>3;6;non;non;non;5;6;1;;;;;;;;;
12:06:36 PM;B03;;Escalope de porc;pomme de terre;yaourt;;;;;;;;;;;;;;;;;;;;;;
12:06:59 PM;B01;;Escalope de porc;pomme de terre;yaourt;;;12:37;Femme;non;>3;6;oui;non;oui;NSPP;7;5;B02;B03;;;;;;;
12:07:08 PM;B03;;Escalope de porc;pomme de terre;fruit;;Pizza entree;12:37;Homme;non;>3;6;oui;non;oui;0;7;2;B02;B01;;;;;;;
12:07:59 PM;A99;;Escalope de porc;pomme de terre;;;;;;;;;;;;;;;;;;;;;;;
12:10:16 PM;B04;;;;;Pizza;;12:29;Homme;non;1à3;7;oui;non;non;8;5;7;B05;;;;;;;;
12:10:21 PM;B05;;;;;Pizza;;12:29;Homme;non;>3;7;oui;non;oui;7;0;5;B04;;;;;;;;
12:11:14 PM;A97;betteraves pommes echalotes;Escalope de porc;Les 2;fromage;;;12:41;Homme;non;<1;10;oui;non;oui;8;8;8;A92;A93;A94;A95;A96;A98;;;
12:11:18 PM;A96;;Escalope de porc;poelee meridionale;fruit;;;12:41;Femme;non;<1;9;oui;non;oui;10;10;7;A93;A94;A95;A97;A92;A98;;;
12:13:02 PM;A88;oeuf mayo;tarte saumon;pomme de terre;tarte chocolat;;;12:08;Homme;NSPP;>3;8;oui;oui;oui;7;6;6;;;;;;;;;
12:13:38 PM;A95;betteraves pommes echalotes;gnocchis pesto (vege);rien;yaourt;;;12:41;Femme;non;>1;6;oui;non;non;0;8;6;A94;A93;A98;A96;A97;A92;;;
12:14:00 PM;A93;;Escalope de porc;pomme de terre;;;;12:41;Homme;oui;NSPP;6;oui;non;oui;5;5;5;;;;;;;;;
12:14:04 PM;A98;Tomates;Escalope de porc;Les 2;yaourt;;;12:41;Homme;non;<1;7;oui;non;oui;8;8;7;A97;A96;A93;A94;A95;A92;;;
12:14:34 PM;A92;;Escalope de porc;pomme de terre;;;;;;;;;;;;;;;;;;;;;;;
12:15:01 PM;A87;Tomates;gnocchis pesto (vege);;;;;13:01;Femme;oui;<1;3;oui;non;oui;0;7;8;A86;;;;;;;;
12:15:14 PM;A86;Tomates;gnocchis pesto (vege);;;;;13:01;Homme;oui;<1;6;oui;oui;non;4;6;6;A87;;;;;;;;
12:15:31 PM;A85;;tarte saumon;pomme de terre;yaourt;;;12:44;Homme;oui;>3;7;oui;non;oui;7;8;5;;;;;;;;;
12:16:04 PM;A90;Tomates;gnocchis pesto (vege);;fruit;;;13:08;Femme;oui;>1;2;non;non;non;4;8;7;A88;A90;A89;;;;;;
12:16:38 PM;A84;;;;tarte chocolat;Grillades;;12:36;Homme;non;1à3;3;non;non;non;3;0;2;;;;;;;;;
12:17:03 PM;A94;;;;yaourt;Grillades;;12:32;Femme;non;<1;6;non;non;oui;0;8;6;A95;A93;A98;A96;A97;A92;;;
12:17:21 PM;A83;betteraves pommes echalotes;tarte saumon;pomme de terre;;;;12:31;Homme;oui;1à3;9;non;non;;10;9;NSPP;;;;;;;;;
12:18:03 PM;A89;oeuf mayo;gnocchis pesto (vege);;yaourt;;;13:08;Homme;oui;>3;5;oui;non;oui;6;3;7;A91;A90;A88;;;;;;
12:18:48 PM;A82;salade pomme de terre;tarte saumon;Les 2;tarte chocolat;;;12:42;Homme;oui;>3;5;non;non;oui;2;6;5;;;;;;;;;
12:19:21 PM;A80;oeuf mayo;tarte saumon;Les 2;yaourt;;;12:46;Homme;non;>3;7;non;non;oui;9;6;7;A81;;;;;;;;
12:19:31 PM;A80;betteraves pommes echalotes;tarte saumon;pomme de terre;fruit;;;12:46;Homme;NSPP;>3;6;non;non;oui;7;7;5;A80;;;;;;;;
12:19:59 PM;A91;oeuf mayo;tarte saumon;pomme de terre;fruit;;;13:08;Femme;NSPP;>3;5;oui;oui;oui;6;7;6;A89;A88;A90;;;;;;
12:22:11 PM;A77;;tarte saumon;Les 2;tarte chocolat;;;12:49;Femme;oui;>3;8;oui;oui;oui;0;7;10;;;;;;;;;
12:24:36 PM;A78;;;;;Grillades;;12:50;Homme;non;<1;5;oui;oui;non;5;3;7;A79;;;;;;;;
12:25:34 PM;A79;;;;;Pizza;;12:50;Homme;non;<1;9;oui;non;oui;7;0;7;A78;;;;;;;;
12:27:58 PM;A76;;tarte saumon;pomme de terre;tarte chocolat;;;12:54;Homme;oui;>3;8;oui;non;oui;5;3;6;A75;A72;A70;;;;;;
12:28:14 PM;A75;;tarte saumon;pomme de terre;tarte chocolat;;;12:54;Femme;oui;>3;7;oui;non;oui;5;4;6;A76;A72;A70;;;;;;
12:28:40 PM;A72;;Escalope de porc;pomme de terre;yaourt;;;12:58;Femme;non;>3;9;oui;non;oui;5;9;10;A75;A76;A70;;;;;;
12:29:13 PM;A73;;tarte saumon;pomme de terre;tarte chocolat;;;13:22;Homme;oui;>3;6;oui;non;oui;5;7;8;A74;A71;A72;;;;;;
12:29:21 PM;A71;;tarte saumon;Les 2;yaourt;;;13:22;Homme;non;>3;7;oui;oui;oui;5;8;5;A73;A71;A74;;;;;;
12:29:50 PM;A74;;Escalope de porc;Les 2;fruit;;;13:22;Homme;non;>3;6;oui;oui;oui;7;6;10;A73;A72;A71;;;;;;
12:30:32 PM;A70;;tarte saumon;Les 2;tarte chocolat;;;13:11;Femme;non;1à3;8;oui;non;oui;7;7;7;;;;;;;;;
12:30:50 PM;A73;;Escalope de porc;Les 2;tarte chocolat;;;;;;;;;;;;;;;;;;;;;;
12:32:48 PM;A67;salade pomme de terre;Escalope de porc;Les 2;peche au sirop;;;13:17;Homme;non;<1;6;non;non;non;5;5;5;A68;A69;;;;;;;
12:33:26 PM;A68;betteraves pommes echalotes;Escalope de porc;Les 2;fruit;;;13:17;Homme;non;<1;7;non;oui;non;7;9;8;A67;A69;;;;;;;
12:33:56 PM;A69;salade pomme de terre;Escalope de porc;Les 2;peche au sirop;;;13:17;Homme;non;<1;8;oui;oui;oui;9;2;7;A68;A67;;;;;;;
