Catégorie,Plat,Regroupement,appellation article
Entrées,Choux blanc à la japonaise,Crudités,raw vegetable salads
Entrées,salade de chou,Crudités,raw vegetable salads
Entrées,Chou blanc,Crudités,raw vegetable salads
Entrées,Chou,Crudités,raw vegetable salads
Entrées,Salade lentilles,Crudités,raw vegetable salads
Entrées,Champignons à l'italienne,Crudités,raw vegetable salads
Entrées,Champignons,Crudités,raw vegetable salads
Entrées,Betterave,Crudités,raw vegetable salads
Entrées,Carottes râpées,Crudités,raw vegetable salads
Entrées,Carottes rapees,Crudités,raw vegetable salads
Entrées,Carottes_rapees,Crudités,raw vegetable salads
Entrées,Artichauts,Crudités,raw vegetable salads
Entrées,Coeurs de palmiers,Crudités,raw vegetable salads
Entrées,Salade de tomates,Crudités,raw vegetable salads
Entrées,Tomates,Crudités,raw vegetable salads
Entrées,salade,Crudités,raw vegetable salads
Entrées,Salade de pommes de terre,Salade féculents,starchy salads
Entrées,Salade de riz,Salade féculents,starchy salads
Entrées,Salade pates,Salade féculents,starchy salads
Entrées,Salade de pates,Salade féculents,starchy salads
Entrées,Oeuf mimosa,Charcuterie,Cold Cuts
Entrées,Oeuf_mimosa,Charcuterie,Cold Cuts
Entrées,Rillette poisson,Charcuterie,Cold Cuts
Entrées,Rillettes poisson,Charcuterie,Cold Cuts
Entrées,Saumon,Charcuterie,Cold Cuts
Entrées,Surimi,Charcuterie,Cold Cuts
Entrées,Mini sandwich,Charcuterie,Cold Cuts
Entrées,Paté,Charcuterie,Cold Cuts
Entrées,Pâté,Charcuterie,Cold Cuts
Entrées,Jambon,Charcuterie,Cold Cuts
Entrées,Jambon_bayonne,Charcuterie,Cold Cuts
Entrées,rillettes_poulet,Charcuterie,Cold Cuts
Entrées,Salami,Charcuterie,Cold Cuts
Plats principaux,Cordon bleu,Viande,Meat
Plats principaux,Escalope viennoise,Viande,Meat
Plats principaux,Filet de poulet,Viande,Meat
Plats principaux,Emince_poulet,Viande,Meat
Plats principaux,Boeuf bourguignon,Viande,Meat
Plats principaux,Boulettes viande,Viande,Meat
Plats principaux,Faux-filet,Viande,Meat
Plats principaux,Bavette,Viande,Meat
Plats principaux,Steak_hache,Viande,Meat
Plats principaux,Entrecôte,Viande,Meat
Plats principaux,Kebab,Viande,Meat
Plats principaux,Hamburger,Viande,Meat
Plats principaux,Feuilleté Saumon oseille,Poisson,Fish
Plats principaux,Pavé de cabillaud,Poisson,Fish
Plats principaux,Pavé de poisson bordelaise,Poisson,Fish
Plats principaux,Poisson pané,Poisson,Fish
Plats principaux,Brandade de poisson,Poisson,Fish
Plats principaux,Pizza merguez poivrons,Viande,Meat
Plats principaux,Pizza raclette,Viande,Meat
Plats principaux,Pizza,Viande,Meat
Plats principaux,Pizza_fromage,Vege,Vegetarian dish
Plats principaux,Pizza Kebab,Viande,Meat
Plats principaux,Risotto courgettes,Vege,Vegetarian dish
Plats principaux,Tajine végé,Vege,Vegetarian dish
Plats principaux,Roti de légumes au tofu,Vege,Vegetarian dish
Plats principaux,Roti légumes tofu,Vege,Vegetarian dish
Plats principaux,Hamburger,Vege,Vegetarian dish
Plats principaux,Burger végé,Vege,Vegetarian dish
Plats principaux,Torsades,Accompagnement,-
Plats principaux,Spaghettis,Accompagnement,-
Plats principaux,Julienne de légumes,Accompagnement,-
Plats principaux,Poelee brocolis ,Accompagnement,-
Plats principaux,Ratatouille,Accompagnement,-
Plats principaux,Brocolis,Accompagnement,-
Plats principaux,légumes,Accompagnement,-
Plats principaux,Mousseline de potiron,Accompagnement,-
Plats principaux,Riz,Accompagnement,-
Plats principaux,Pommes de terre vapeur,Accompagnement,-
Plats principaux,Frites,Accompagnement +,-
Plats principaux,Salade verte,Accompagnement +,-
Plats principaux,Salade,Accompagnement +,-
Desserts,Yaourt aux fruits,Produit laitier,Fresh dairy
Desserts,Yaourt_fruits,Produit laitier,Fresh dairy
Desserts,Yaourt aux fruits en morceaux,Produit laitier,Fresh dairy
Desserts,Banane,Fruit,Fruit
Desserts,Oeuf à la neige,Dessert gourmand,Gourmet dessert
Desserts,Faisselle nature,Produit laitier,Fresh dairy
Desserts,Yaourt nature sucré,Produit laitier,Fresh dairy
Desserts,Fromage blanc fruits rouges,Produit laitier,Fresh dairy
Desserts,Fromage_blanc_fr,Produit laitier,Fresh dairy
Desserts,Pomme golden,Fruit,Fruit
Desserts,Pomme granny,Fruit,Fruit
Desserts,Pomme Gala,Fruit,Fruit
Desserts,Pomme,Fruit,Fruit
Desserts,Flanc chocolat,Crème dessert,Dairy cream
Desserts,Mimolette,Fromage,Cheese
Desserts,Tomme,Fromage,Cheese
Desserts,Orange,Fruit,Fruit
Desserts,Kiwi,Fruit,Fruit
Desserts,Madeleine,Dessert gourmand,Gourmet dessert
Desserts,Mousse noix de coco,Crème dessert,Dairy cream
Desserts,Liégeois café,Crème dessert,Dairy cream
Desserts,Petit suisse nature,Produit laitier,Fresh dairy
Desserts,Compote,Fruit,Fruit
Desserts,Fromage blanc,Produit laitier,Fresh dairy
Desserts,Tarte aux fruits,Dessert gourmand,Gourmet dessert
Desserts,Carrot_cake,Dessert gourmand,Gourmet dessert
Desserts,Tiramisu_banane,Dessert gourmand,Gourmet dessert
Desserts,Gateau_semoule,Dessert gourmand,Gourmet dessert
Desserts,Gâteau de semoule,Crème dessert,Dairy cream
Desserts,Paris Brest,Dessert gourmand,Gourmet dessert
Desserts,Paris_brest,Dessert gourmand,Gourmet dessert
Desserts,Poire,Fruit,Fruit
Desserts,Fromage blanc nature,Produit laitier,Fresh dairy
Desserts,Crème praliné,Crème dessert,Dairy cream
Desserts,Cocktail Fruits exotiques,Fruit,Fruit
