;Horodateur;Numéro de formulaire ;PLAT_1;PLAT_2;PLAT_3;ENTREE_1;ENTREE_2;DESSERT_1;DESSERT_2;DESSERT_3
0; 12:30:48  ;6P4Y;torsades;escalopeviennoise;;pasdentrée;;yaourtauxfruits;banane;
1; 12:32:01  ;2H8Z;feuilletésaumonoseille;torsades;poeléebrocolis;chouxblancàlajaponaise;;œufàlaneige;;
2; 12:32:45  ;8M4T;boeufbourguignon;torsades;poeléebrocolis;saladelentilles;champignons;faissellenature;;
3; 12:32:51  ;3G0E;feuilletésaumonoseille;torsades;poeléebrocolis;saladelentilles;;œufàlaneige;;
4; 12:33:28  ;8K6E ;torsades;poeléebrocolis;escalopeviennoise;pasdentrée;;yaourtauxfruits;banane;
5; 12:33:34  ;2O6T;feuilletésaumonoseille;torsades;;pasdentrée;;yaourtnaturesucré;œufàlaneige;
6; 12:34:07  ;1N8N;boeufbourguignon;torsades;poeléebrocolis;champignons;;fromageblancfruitsrouges;banane;
7; 12:34:09  ;5P2D;boeufbourguignon;torsades;;carottesrâpées;;yaourtauxfruits;banane;
8; 12:34:30  ;6R0N;boeufbourguignon;torsades;poeléebrocolis;pasdentrée;;yaourtauxfruits;pommegolden;
9; 12:34:54  ;5U6D;boeufbourguignon;torsades;;champignons;;yaourtauxfruits;;
10; 12:34:58  ;5G2Q;kebab;frites;;pasdentrée;;pasdedessert;;
11; 12:35:18  ;1T8V;kebab;frites;;pasdentrée;;pasdedessert;;
12; 12:35:25  ;8K8L;boeufbourguignon;torsades;poeléebrocolis;carottesrâpées;;yaourtnaturesucré;pommegolden;
13; 12:35:48  ;5V7A;boeufbourguignon;torsades;;oeufmimosa;;yaourtauxfruits;;
14; 12:36:01  ;3L6Q;feuilletésaumonoseille;torsades;poeléebrocolis;saladepates;;banane;;
15; 12:36:17  ;0U9Y;feuilletésaumonoseille;torsades;poeléebrocolis;oeufmimosa;;fromageblancfruitsrouges;flancchocolat;
16; 12:37:04  ;5B4T;boeufbourguignon;torsades;;pasdentrée;;fromageblancfruitsrouges;pommegolden;
17; 12:38:50  ;4H1P;boeufbourguignon;torsades;poeléebrocolis;oeufmimosa;;fromageblancfruitsrouges;pommegolden;
18; 12:39:06  ;0B60;kebab;frites;;pasdentrée;;pasdedessert;;
19; 12:39:32  ;2Y1W;feuilletésaumonoseille;torsades;poeléebrocolis;oeufmimosa;;mimolette;flancchocolat;
20; 12:39:36  ;1J5T;feuilletésaumonoseille;torsades;ratatouille;oeufmimosa;;fromageblancfruitsrouges;banane;
21; 12:40:01  ;8O3V;risottocourgettes;;;oeufmimosa;;banane;;
22; 12:40:24  ;1B2S;boeufbourguignon;torsades;poeléebrocolis;pasdentrée;;fromageblancfruitsrouges;banane;
23; 12:40:24  ;0F9P;pizzaraclette;;;oeufmimosa;;yaourtauxfruits;flancchocolat;banane
24; 12:40:46  ;2A1P;boeufbourguignon;torsades;;pasdentrée;;yaourtauxfruits;fromageblancfruitsrouges;banane
25; 12:413:05  ;4U8Q;feuilletésaumonoseille;torsades;;pasdentrée;;mimolette;fromageblancfruitsrouges;flancchocolat
26; 12:413:14  ;7D4K;boeufbourguignon;torsades;;oeufmimosa;;faissellenature;banane;
27; 12:413:34  ;8U4I;boeufbourguignon;torsades;;oeufmimosa;;yaourtauxfruits;banane;
28; 12:42:03  ;0B2M;boeufbourguignon;torsades;poeléebrocolis;oeufmimosa;;yaourtnaturesucré;;
29; 12:42:55  ;2M7S;feuilletésaumonoseille;torsades;;pasdentrée;;yaourtauxfruits;banane;
30; 12:43:22  ;3K7S;kebab;frites;;artichauts;;yaourtauxfruits;banane;
31; 12:43:29  ;8N1H;feuilletésaumonoseille;torsades;poeléebrocolis;oeufmimosa;;fromageblancfruitsrouges;flancchocolat;
32; 12:43:49  ;8P9D;feuilletésaumonoseille;torsades;poeléebrocolis;saladepates;;banane;;
33; 12:44:08  ;4D0S;feuilletésaumonoseille;torsades;poeléebrocolis;saladepates;;yaourtauxfruits;banane;
34; 12:45:10  ;8N9Q;kebab;frites;;pasdentrée;;flancchocolat;;
35; 12:45:34  ;1G6O;boeufbourguignon;torsades;poeléebrocolis;saladelentilles;oeufmimosa;fromageblancfruitsrouges;;
36; 12:45:54  ;7Z3H;boeufbourguignon;torsades;;pasdentrée;;mimolette;fromageblancfruitsrouges;
37; 12:46:04  ;5Y5L;boeufbourguignon;torsades;poeléebrocolis;pasdentrée;;yaourtauxfruits;pommegolden;
38; 12:46:19  ;3T0E;boeufbourguignon;torsades;poeléebrocolis;pasdentrée;;yaourtauxfruits;pommegolden;
39; 12:46:52  ;0C8K;boeufbourguignon;torsades;;pasdentrée;;yaourtauxfruits;fromageblancfruitsrouges;banane
