Horodateur,Numéro de formulaire ,ENTREE_1,ENTREE_2,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2
  12:42:36,6H0H,Surimi,,Boeuf bourguignon , Julienne de légumes , Pommes de terre vapeur,Orange , Madeleine
  12:43:25,5G0U,Surimi,,Filet de poulet , Pommes de terre vapeur,,Mousse noix de coco,
  12:45:44,7E3P,Chou,,Tajine végé ,,,Liégeois café , Madeleine
  12:48:23,9W1X,Pas d'entrée,,Pavé de cabillaud , Pommes de terre vapeur,,Pomme granny , Compote
  12:50:37,9V6K,Pas d'entrée,,Torsades , Pommes de terre vapeur,,Liégeois café,
  12:52:55,8S8P,Surimi,,Filet de poulet , Pommes de terre vapeur , Julienne de légumes,Liégeois café , Madeleine
  12:53:27,1M4Q,Pas d'entrée,,Pavé de cabillaud , Pommes de terre vapeur , Julienne de légumes,Pomme granny,
  12:54:08,7P4Y,Chou,,Filet de poulet , Pommes de terre vapeur , Julienne de légumes,Compote , Madeleine
  12:55:38,3Q4U,Surimi,,Tajine végé ,,,Pomme granny , Liégeois café
  12:56:42,8S5L,Salade lentilles,,Boeuf bourguignon , Pommes de terre vapeur , Julienne de légumes,Petit suisse nature , Madeleine
  12:58:02,1G3P,Salade lentilles,,Boeuf bourguignon , Pommes de terre vapeur , Julienne de légumes,Orange,
  12:58:29,1O2H,Salade lentilles,,Filet de poulet , Pommes de terre vapeur , Julienne de légumes,Fromage blanc , Compote
  12:58:39,5L2C,Salade lentilles,,Boeuf bourguignon , Pommes de terre vapeur , Julienne de légumes,Pomme granny , Liégeois café
  12:58:49,3W9E,Pas d'entrée,,Filet de poulet , Pommes de terre vapeur , Julienne de légumes,Compote,
  12:59:44,9J2Z,Pas d'entrée,,Boeuf bourguignon , Pommes de terre vapeur , Julienne de légumes,Petit suisse nature , Liégeois café + Compote
  12:59:49,0P1K,Pas d'entrée,,Boeuf bourguignon , Pommes de terre vapeur,,Liégeois café,
  13:00:07,3H8D,Salade lentilles,,Boeuf bourguignon , Pommes de terre vapeur , Julienne de légumes,Liégeois café,
  13:00:38,0P5K,Pas d'entrée,,Filet de poulet , Pommes de terre vapeur,,Petit suisse nature , Compote
  13:13:36,5I1U,Pas d'entrée,,Boeuf bourguignon , Pommes de terre vapeur , Julienne de légumes,Pas de dessert,
  13:13:46,0J8O,Pas d'entrée,,Tajine végé ,,,Pomme granny , Liégeois café + Compote
  13:02:03,5P2B,Salade lentilles , Chou,Boeuf bourguignon , Pommes de terre vapeur , Julienne de légumes,Pomme granny,
  13:02:34,4DD9G,Chou,,Boeuf bourguignon , Pommes de terre vapeur , Julienne de légumes,Pomme granny , Compote
  13:03:44,0R4X,Salade lentilles , Carottes râpées + Chou ,Filet de poulet , Pommes de terre vapeur , Julienne de légumes,Pas de dessert,
  13:04:47,8W4Q,Salade lentilles , Salade de tomates,Boeuf bourguignon , Pommes de terre vapeur , Julienne de légumes,Liégeois café,
  13:05:22,8B8H,Pas d'entrée,,Boeuf bourguignon , Pommes de terre vapeur , Julienne de légumes,Liégeois café,
  13:05:30,4A1V,Pas d'entrée,,Boeuf bourguignon , Pommes de terre vapeur , Julienne de légumes,Pomme granny , Liégeois café
  13:05:58,6U3B,Pas d'entrée,,Boeuf bourguignon , Pommes de terre vapeur , Julienne de légumes,Pomme granny , Madeleine
  13:06:14,7J6U,Chou,,Boeuf bourguignon , Pommes de terre vapeur , Julienne de légumes,Liégeois café , Madeleine
  13:06:58,2L2Z,Chou,,Pavé de cabillaud , Pommes de terre vapeur , Julienne de légumes,Pomme granny,
  13:07:10,2E5O,Chou,,Pavé de cabillaud , Pommes de terre vapeur,,Pomme granny , Liégeois café
  13:07:19,6C9V,Pas d'entrée,,Faux-filet , Frites , Salade verte,Compote ,
  13:07:37,2B6T,Pas d'entrée,,Filet de poulet , Pommes de terre vapeur,,Compote , Madeleine
  13:07:41,2Q6Z,Pas d'entrée,,Boeuf bourguignon , Pommes de terre vapeur , Julienne de légumes,Compote , Madeleine
  13:08:28,6W4Y,Salade lentilles,,Boeuf bourguignon , Pommes de terre vapeur , Julienne de légumes,Liégeois café , Madeleine
  13:08:44,0P1I,Salade lentilles,,Pavé de cabillaud , Pommes de terre vapeur , Julienne de légumes,Orange , Pomme granny 
  13:08:46,6V9Q,Pas d'entrée,,Tajine végé ,,,Madeleine,
  13:09:56,7J8M,Pas d'entrée,,Tajine végé ,,,Pomme granny , Compote + Madeleine 
  13:10:32,8N4I,Pas d'entrée,,Burger végé , Frites,,Compote , Madeleine
  13:10:46,0H8R,Pas d'entrée,,Burger végé , Frites,,Pas de dessert,
  13:11:05,9B3F,Chou,,Pavé de cabillaud , Pommes de terre vapeur , Julienne de légumes,Pomme granny , Madeleine
  13:11:18,1Y9W,Pas d'entrée,,Burger végé , Frites,,Pas de dessert,
  13:11:23,2C0W,Chou,,Filet de poulet , Pommes de terre vapeur , Julienne de légumes,Pomme granny , Compote 
  13:11:47,6T3S,Chou,,Pavé de cabillaud , Pommes de terre vapeur , Julienne de légumes,Pomme granny , Compote 
  13:12:18,4M6N,Pas d'entrée,,Tajine végé ,,,Madeleine , Orange + Compote 
  13:12:27,1C3K,Pas d'entrée,,Pizza,,,Pas de dessert,
  13:12:41,4H1X,Pas d'entrée,,Pizza,,,Pas de dessert,
  13:12:44,0R4J,Pas d'entrée,,Pavé de cabillaud , Julienne de légumes,,Compote , Madeleine
  13:13:03,3W5V,Salade lentilles , Chou,Pavé de cabillaud , Pommes de terre vapeur , Julienne de légumes,Madeleine,
