Support,Confidence,Coverage,Strength,Lift,Leverage,Antecedent,Consequent
continuous,continuous,continuous,continuous,continuous,continuous,string,string
,,,,,,meta,meta
0.834,0.913,0.914,0.973,1.026,0.021,onehot_viande=1,Végé=0
0.825,0.903,0.914,0.983,1.004,0.004,onehot_viande=1,onehot_charcuterie=0
0.825,0.903,0.914,0.983,1.004,0.004,onehot_viande=1,onehot_cremedessert=0
0.825,1.0,0.825,1.089,1.113,0.084,"onehot_charcuterie=0, onehot_viande=1",onehot_cremedessert=0
0.825,0.903,0.914,0.983,1.004,0.004,onehot_viande=1,"onehot_charcuterie=0, onehot_cremedessert=0"
0.825,1.0,0.825,1.089,1.113,0.084,"onehot_viande=1, onehot_cremedessert=0",onehot_charcuterie=0
0.794,0.869,0.914,0.893,1.065,0.049,onehot_viande=1,onehot_fromage=0
0.794,0.869,0.914,0.893,1.065,0.049,onehot_viande=1,onehot_vege=0
0.794,1.0,0.794,1.027,1.226,0.146,"onehot_viande=1, onehot_vege=0",onehot_fromage=0
0.794,1.0,0.794,1.027,1.226,0.146,"onehot_fromage=0, onehot_viande=1",onehot_vege=0
0.794,0.869,0.914,0.893,1.065,0.049,onehot_viande=1,"onehot_fromage=0, onehot_vege=0"
0.764,0.915,0.834,0.978,1.122,0.083,"Végé=0, onehot_viande=1",onehot_fromage=0
0.764,0.836,0.914,0.856,1.068,0.049,onehot_viande=1,"Végé=0, onehot_fromage=0"
0.764,0.961,0.794,1.12,1.081,0.057,"onehot_fromage=0, onehot_viande=1",Végé=0
0.764,0.915,0.834,0.978,1.122,0.083,"Végé=0, onehot_viande=1",onehot_vege=0
0.764,0.836,0.914,0.856,1.068,0.049,onehot_viande=1,"Végé=0, onehot_vege=0"
0.764,0.961,0.794,1.12,1.081,0.057,"onehot_viande=1, onehot_vege=0",Végé=0
0.764,1.0,0.764,1.068,1.226,0.141,"Végé=0, onehot_viande=1, onehot_vege=0",onehot_fromage=0
0.764,0.961,0.794,0.985,1.229,0.142,"onehot_viande=1, onehot_vege=0","Végé=0, onehot_fromage=0"
0.764,1.0,0.764,1.068,1.226,0.141,"Végé=0, onehot_fromage=0, onehot_viande=1",onehot_vege=0
0.764,0.915,0.834,0.978,1.122,0.083,"Végé=0, onehot_viande=1","onehot_fromage=0, onehot_vege=0"
0.764,0.836,0.914,0.856,1.068,0.049,onehot_viande=1,"Végé=0, onehot_fromage=0, onehot_vege=0"
0.764,0.961,0.794,0.985,1.229,0.142,"onehot_fromage=0, onehot_viande=1","Végé=0, onehot_vege=0"
0.764,0.961,0.794,1.12,1.081,0.057,"onehot_fromage=0, onehot_viande=1, onehot_vege=0",Végé=0
0.748,0.907,0.825,1.078,1.02,0.014,"onehot_charcuterie=0, onehot_viande=1",Végé=0
0.748,0.897,0.834,1.077,0.998,-0.001,"Végé=0, onehot_viande=1",onehot_charcuterie=0
0.748,0.819,0.914,0.869,1.031,0.022,onehot_viande=1,"Végé=0, onehot_charcuterie=0"
0.748,0.907,0.825,1.078,1.02,0.014,"onehot_viande=1, onehot_cremedessert=0",Végé=0
0.748,0.897,0.834,1.077,0.998,-0.001,"Végé=0, onehot_viande=1",onehot_cremedessert=0
0.748,0.819,0.914,0.869,1.031,0.022,onehot_viande=1,"Végé=0, onehot_cremedessert=0"
0.748,1.0,0.748,1.201,1.113,0.076,"Végé=0, onehot_charcuterie=0, onehot_viande=1",onehot_cremedessert=0
0.748,0.907,0.825,0.963,1.142,0.093,"onehot_charcuterie=0, onehot_viande=1","Végé=0, onehot_cremedessert=0"
0.748,0.897,0.834,1.077,0.998,-0.001,"Végé=0, onehot_viande=1","onehot_charcuterie=0, onehot_cremedessert=0"
0.748,0.819,0.914,0.869,1.031,0.022,onehot_viande=1,"Végé=0, onehot_charcuterie=0, onehot_cremedessert=0"
0.748,0.907,0.825,1.078,1.02,0.014,"onehot_charcuterie=0, onehot_viande=1, onehot_cremedessert=0",Végé=0
0.748,1.0,0.748,1.201,1.113,0.076,"Végé=0, onehot_viande=1, onehot_cremedessert=0",onehot_charcuterie=0
0.748,0.907,0.825,0.963,1.142,0.093,"onehot_viande=1, onehot_cremedessert=0","Végé=0, onehot_charcuterie=0"
0.712,0.862,0.825,0.989,1.057,0.038,"onehot_charcuterie=0, onehot_viande=1",onehot_fromage=0
0.712,0.896,0.794,1.131,0.997,-0.002,"onehot_fromage=0, onehot_viande=1",onehot_charcuterie=0
0.712,0.779,0.914,0.799,1.066,0.044,onehot_viande=1,"onehot_fromage=0, onehot_charcuterie=0"
0.712,0.862,0.825,0.989,1.057,0.038,"onehot_viande=1, onehot_cremedessert=0",onehot_fromage=0
0.712,0.896,0.794,1.131,0.997,-0.002,"onehot_fromage=0, onehot_viande=1",onehot_cremedessert=0
0.712,0.779,0.914,0.799,1.066,0.044,onehot_viande=1,"onehot_fromage=0, onehot_cremedessert=0"
0.712,0.862,0.825,0.989,1.057,0.038,"onehot_charcuterie=0, onehot_viande=1, onehot_cremedessert=0",onehot_fromage=0
0.712,1.0,0.712,1.263,1.113,0.072,"onehot_fromage=0, onehot_viande=1, onehot_cremedessert=0",onehot_charcuterie=0
0.712,0.862,0.825,0.885,1.181,0.109,"onehot_viande=1, onehot_cremedessert=0","onehot_fromage=0, onehot_charcuterie=0"
0.712,1.0,0.712,1.263,1.113,0.072,"onehot_fromage=0, onehot_charcuterie=0, onehot_viande=1",onehot_cremedessert=0
0.712,0.862,0.825,0.885,1.181,0.109,"onehot_charcuterie=0, onehot_viande=1","onehot_fromage=0, onehot_cremedessert=0"
0.712,0.896,0.794,1.131,0.997,-0.002,"onehot_fromage=0, onehot_viande=1","onehot_charcuterie=0, onehot_cremedessert=0"
0.712,0.779,0.914,0.799,1.066,0.044,onehot_viande=1,"onehot_fromage=0, onehot_charcuterie=0, onehot_cremedessert=0"
0.712,0.862,0.825,0.989,1.057,0.038,"onehot_charcuterie=0, onehot_viande=1",onehot_vege=0
0.712,0.779,0.914,0.799,1.066,0.044,onehot_viande=1,"onehot_charcuterie=0, onehot_vege=0"
0.712,0.896,0.794,1.131,0.997,-0.002,"onehot_viande=1, onehot_vege=0",onehot_charcuterie=0
0.712,1.0,0.712,1.147,1.226,0.131,"onehot_charcuterie=0, onehot_viande=1, onehot_vege=0",onehot_fromage=0
