N° Formulaire;Genre;Âge;Taille (m);Poids (kg);IMC;Activité physique;Régime particulier;Végé;Fréquence CROUS;Equilibre alim;Seule ou en groupe;Nb groupe entrée;Proximité;Connaissance;Parti groupe;Influ sociale;Percept senso;Nb file;Faim;Stress;Nb convives;Ami 1;Ami 2;Ami 3;Ami 4;Ami 5
7I1E;M;21;1,78;75;23,67125363;Modérée;Non;Non;Au moins 1 fois par semaine;Moyennement;En groupe;2;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, pas trop;Oui, assez faim;Plutôt non;2;2J2Y;;;;
2J2Y;M;21;1,8;75;23,14814815;Faible;Oui;Oui;Tous les jours ou presque ;Un peu;En groupe;1;Oui;Oui;;Pas influencé;Moyennement influencé;Non, pas trop;Oui, mais très peu;Non;2;7I1E;;;;
4Z5F;M;21;1,68;58;20,54988662;Aucune;Non;Non;Tous les jours ou presque ;Un peu;Seule;1;Non;Non;Non;Pas influencé;Moyennement influencé;Plutôt oui;Oui, mais très peu;Non;1;;;;;
3P0Q;M;21;1,7;97;33,56401384;Modérée;Non;Non;Tous les jours ou presque ;Un peu;En groupe;5;Oui;Oui;Oui;Très influencé;Très influencé;Oui, tout à fait ;Oui, très faim;Oui, très;5;3W7U;4K9H;7K6K;9K2R;
2F1L;M;21;1,75;70;22,85714286;Faible;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;6;Oui;Oui;Oui;Moyennement influencé;Moyennement influencé;Non, pas trop;Oui, assez faim;Plutôt non;6;8B5X;5S8N;8I1G;0Y2Q;1N9J
5S8N;M;20;1,85;75;21,9138057;Faible;Non;Non;Tous les jours ou presque ;Très attention;En groupe;6;Oui;Non;Non;Pas influencé;Moyennement influencé;Non, je ne pense pas;Oui, très faim;Non;6;1N9J;8B5X;0Y2Q;8I1G;2F1L
1N9J;M;20;1,88;80;22,63467632;Modérée;Non;Non;Au moins 1 fois par semaine;Moyennement;En groupe;6;Oui;Non;Non;Peu influencé;Moyennement influencé;Non, pas trop;Oui, assez faim;Plutôt non;6;8B5X;5S8N;0Y2Q;8I1G;2F1L
0Y2Q;M;19;1,92;75;20,34505208;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;6;Oui;Oui;Oui;Pas influencé;Très influencé;Plutôt oui;Oui, très faim;Plutôt oui;6;1N9J;2F1L;8B5X;5S8N;8I1G
8B5X;M;19;1,64;62;23,05175491;Aucune;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;5;Oui;Non;Non;Peu influencé;Moyennement influencé;Non, je ne pense pas;Oui, assez faim;Plutôt oui;6;1N9J;8I1G;0Y2Q;5S8N;2F1L
1C8S;M;22;1,73;73;24,39105884;Modérée;Non;Non;Au moins 1 fois par semaine;Moyennement;Seule;1;Non;Non;Non;Pas influencé;Pas influencé;Plutôt oui;Oui, mais très peu;Plutôt oui;1;;;;;
3Q7Q;M;20;1,76;69;22,27530992;Importante;Oui;Non;Tous les jours ou presque ;Moyennement;En groupe;3;Oui;Oui;Oui;Pas influencé;Peu influencé;Non, je ne pense pas;Oui, assez faim;Plutôt oui;3;5C0L;1K9O;;;
1K9O;M;20;1,81;65;19,8406642;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;3;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Non, je ne pense pas;Oui, assez faim;Plutôt oui;3;3Q7Q;5C0L;;;
5C0L;M;21;1,92;87;23,60026042;Importante;Non;;Tous les jours ou presque ;Très attention;En groupe;3;Oui;Oui;Oui;Moyennement influencé;Moyennement influencé;Plutôt oui;Oui, assez faim;Plutôt non;3;3Q7Q;1K9O;;;
9V8W;F;21;1,7;57;19,72318339;Faible;Oui;Oui;Tous les jours ou presque ;;Seule;1;Non;Non;Non;Pas influencé;Moyennement influencé;Non, je ne pense pas;Oui, mais très peu;Plutôt oui;;6 Personnes;;;;
3Q2Q;F;21;1,7;56;19,37716263;Modérée;Oui;Non;Tous les jours ou presque ;Très attention;En groupe;1;Non;Non;Non;Pas influencé;Très influencé;Non, je ne pense pas;Oui, assez faim;Plutôt non;2;8E0Y;;;;
8E0Y;F;20;1,53;50;21,35930625;Aucune;Non;Non;Tous les jours ou presque ;Un peu;En groupe;2;Non;Non;Non;Pas influencé;Pas influencé;Non, pas trop;Oui, assez faim;Plutôt non;2;3Q2Q;;;;
9K2R;M;20;1,68;51;18,06972789;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;5;Oui;Oui;Oui;Pas influencé;Peu influencé;Non, pas trop;Oui, assez faim;Oui, très;5;4K9H;3W7U;3P0Q;7K6K;
6V3U;M;27;1,78;72;22,72440348;Modérée;Oui;Non;Au moins 1 fois par semaine;Pas du tout;En groupe;3;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, je ne pense pas;Oui, assez faim;Plutôt oui;5;3D2B;8X9Z;6O7K;7J8O;
8X9Z;M;27;1,77;66;21,06674327;Modérée;Non;Non;Au moins 1 fois par semaine;Moyennement;En groupe;2;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Plutôt oui;Oui, très faim;Oui, très;5;3D2B;6V3U;6O7K;7J8O;
3D2B;M;31;1,86;89;25,7255174;Modérée;Non;Non;Tous les jours ou presque ;Un peu;En groupe;3;Oui;Oui;Oui;Pas influencé;Pas influencé;Non, je ne pense pas;Oui, assez faim;Non;5;6V3U;7J8O;8X9Z;6O7K;
6O7K;F;27;1,55;60;24,97398543;Faible;Non;Non;Tous les jours ou presque ;Un peu;En groupe;2;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Non, pas trop;Oui, assez faim;Plutôt non;5;6V3U;7J8O;8X9Z;3D2B;
