;Horodateur;Numéro de formulaire ;surimi;chou;saladelentilles;carottesrâpées;saladedetomates;boeufbourguignon;filetdepoulet;tajinevégé;pavédecabillaud;torsades;faux-filet;burgervégé;pizza;pommesdeterrevapeur;frites;juliennedelégumes;saladeverte;orange;moussenoixdecoco;liégeoiscafé;pommegranny;compote;petitsuissenature;fromageblanc;madeleine
0;  12:42:36;6H0H;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1
1;  12:43:25;5G0U;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
2;  12:45:44;7E3P;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
3;  12:48:23;9W1X;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0
4;  12:50:37;9V6K;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
5;  12:52:55;8S8P;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1
6;  12:53:27;1M4Q;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0
7;  12:54:08;7P4Y;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1
8;  12:55:38;3Q4U;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
9;  12:56:42;8S5L;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1
10;  12:58:02;1G3P;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0
11;  12:58:29;1O2H;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0
12;  12:58:39;5L2C;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0
13;  12:58:49;3W9E;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0
14;  12:59:44;9J2Z;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0
15;  12:59:49;0P1K;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
16;  13:00:07;3H8D;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
17;  13:00:38;0P5K;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0
18;  13:13:36;5I1U;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
19;  13:13:46;0J8O;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
20;  13:02:03;5P2B;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0
21;  13:02:34;4DD9G;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0
22;  13:03:44;0R4X;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
23;  13:04:47;8W4Q;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
24;  13:05:22;8B8H;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
