;Horodateur;Numéro de formulaire ;minisandwich;saladederiz;saladedechou;betterave;artichauts;pâté;rillettespoisson;carottesrapees;saladedepates;champignonsalitalienne;cordonbleu;boulettesviande;rotilégumestofu;pavédepoissonbordelaise;pizzakebab;filetdepoulet;kebab;entrecôte;riz;frites;brocolis;salade;pommegala;tarteauxfruits;yaourtauxfruitsenmorceaux;parisbrest;poire;fromageblancnature;pruneauxausirop;emmental;bleudauvergneaop;crèmepraliné;yaourtnature;gâteaudesemoule;orange;banane;liégeois;kiwi;cocktailfruitsexotiques
0; 12:35:00;9D6N;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1; 12:36:38;5A5R;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2; 12:37:52;8S7L;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
3; 12:38:09;8N6P;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
4; 12:39:08;1C5X;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5; 12:39:19;0N3Z;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
6; 12:40:10;7B2H;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7; 12:40:49;9Q5A;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
8; 12:41:09;3E1Q;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9; 12:41:17;3N5Y;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
