Unnamed: 0,Numéro de formulaire,ENTREE_1,ENTREE_2,ENTREE_3,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2,DESSERT_3,Horodateur,Genre,Régime,Fréquentation,Faim,Connaissance entourage,Influence entourage,Influence aspect,Quantité,Equilibre,Aspect,Attente,Convives,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,C02,saladesoja,,,cabillaud,semoule,,fruit,,,12:39,Homme,non,1à3,6.0,oui,non,non,7.0,8,0.0,6.0,C01,,,,,,,
1,C06,saladeriz,,,cabillaud,semoule,,,,,,,,,,,,,,,,,,,,,,,,
2,C04,saucisson,,,chipo,semoule,,moussechocolat,,,,,,,,,,,,,,,,,,,,,,
3,C12,,,,chipo,semoule,,emmental,,,,,,,,,,,,,,,,,,,,,,
4,C07,saladeriz,,,cabillaud,semoule,,yaourt,,,,,,,,,,,,,,,,,,,,,,
5,C09,endives,,,chipo,semoule,,donut,,,,,,,,,,,,,,,,,,,,,,
6,C02,,,,chipo,semoule,,yaourt,,,,,,,,,,,,,,,,,,,,,,
7,C08,saladeriz,,,chipo,semoule,,emmental,,,,,,,,,,,,,,,,,,,,,,
8,C14,saladeriz,,,lasagnesvg,,,chaource,,,,,,,,,,,,,,,,,,,,,,
9,C19,carottes,,,lasagnesvg,,,yaourt,,,12:17,Homme,oui,>3,7.0,non,non,non,7.0,è,3.0,1.0,C20,,,,,,,
10,C04,saucisson,,,chipo,semoule,,moussechocolat,,,,,,,,,,,,,,,,,,,,,,
11,C10,saladeriz,,,cabillaud,semoule,,emmental,,,,,,,,,,,,,,,,,,,,,,
12,C03,,,,cabillaud,semoule,,,,,,,,,,,,,,,,,,,,,,,,
13,C21,,,,chipo,semoule,,donut,,,12:48,Femme,non,>3,7.0,oui,non,non,3.0,2,5.0,4.0,C22,,,,,,,
14,C17,,,,pizza,,,,,,12:26,Femme,oui,>3,8.0,,oui,oui,8.0,7,,8.0,C18,,,,,,,
15,C22,saladesoja,,,lasagnesvg,,,crèmedessert,,,12:47,Homme,non,>3,7.0,oui,oui,oui,4.0,7,5.0,5.0,C21,,,,,,,
16,C25,carottes,,,cabillaud,semoule,,fruit,,,12:25,Homme,non,>3,9.0,oui,non,non,7.0,3,9.0,9.0,C24,C26,C27,,,,,
17,C24,saladeriz,,,chipo,semoule,,donut,,,12:25,Femme,non,>3,,non,non,oui,6.0,8,7.0,9.0,C25,C26,C27,,,,,
18,C29,carottes,,,chipo,semoule,,fruit,,,12:16,Homme,non,>3,7.0,oui,non,oui,7.0,8,3.0,,C33,,,,,,,
19,C26,saladeriz,,,cabillaud,semoule,,fruit,,,12:26,Homme,non,1à3,4.0,oui,non,oui,4.0,7,6.0,3.0,C24,C25,C27,,,,,
20,C30,,,,chipo,semoule,,yaourt,,,12:18,Homme,non,>3,6.0,oui,non,oui,5.0,4,6.0,8.0,C31,C32,,,,,,
21,C31,,,,chipo,semoule,,emmental,,,12:19,Homme,non,<1,7.0,oui,oui,oui,7.0,2,6.0,5.0,C30,C32,,,,,,
22,C32,carottes,,,chipo,semoule,,yaourt,,,12:19,Homme,non,<1,6.0,oui,non,non,6.0,6,6.0,2.0,C30,C31,,,,,,
23,A03,saladesoja,,,lasagnesvg,,,tartefrboisesananas,,,12:18,Homme,oui,>3,9.0,oui,oui,oui,9.0,3,6.0,3.0,A02,A01,,,,,,
24,A04,saladeriz,,,chipo,semoule,,crèmecrã©ole,,,,,,,,,,,,,,,,,,,,,,
25,A02,saladesoja,,,lasagnesvg,,,yaourt,,,12:19,Femme,non,>3,5.0,oui,oui,oui,1.0,3,6.0,6.0,A01,A03,,,,,,
26,A01,carottes,,,lasagnesvg,,,fruit,,,12:18,,oui,>3,7.0,oui,non,oui,7.0,8,6.0,3.0,A03,A02,,,,,,
27,C34,carottes,,,chipo,semoule,,chaource,,,,,,,,,,,,,,,,,,,,,,
28,A12,carottes,,,chipo,semoule,,fruit,,,,,,,,,,,,,,,,,,,,,,
29,A08,saladeriz,,,lasagnesvg,,,fruit,,,,,,,,,,,,,,,,,,,,,,
30,A13,endives,,,chipo,semoule,,tartefrboisesananas,,,,,,,,,,,,,,,,,,,,,,
31,A14,saucisson,,,cabillaud,semoule,,fruit,,,,,,,,,,,,,,,,,,,,,,
32,A16,,,,lasagnesvg,,,fruit,,,12:30,Femme,non,>3,5.0,oui,non,oui,3.0,8,8.0,10.0,A15,A17,,,,,,
33,A17,saladesoja,,,lasagnesvg,,,fruit,,,12:30,Homme,non,>3,9.0,oui,non,non ,5.0,10,10.0,7.0,A16,A15,,,,,,
34,A15,carottes,,,chipo,semoule,,moussechocolat,,,12:30,Homme,non,1à3,8.0,non,non,oui,,10,10.0,6.0,A17,A16,,,,,,
35,A22,saucisson,,,lasagnesvg,,,yaourt,,,12:30,Homme,non,>3,7.0,oui,non,oui,7.0,8,8.0,5.0,,,,,,,,
36,A29,,,,chipo,semoule,,yaourt,,,12:24,Homme,non,<1,5.0,oui,non,oui,5.0,7,7.0,3.0,A26,A27,A28,,,,,
37,A24,saucisson,,,chipo,semoule,,moussechocolat,,,12:29,Homme,non,>3,8.0,oui,oui,oui,4.0,4,9.0,7.0,A25,,,,,,,
