Numéro de formulaire;Genre;Age;Taille;Poids;IMC;Activité physique;Régime particulier;Végé;Fréquence CROUS;Equilibre alim;Seule ou en groupe;Nb groupe entrée;Proximité;Connaissance;Parti groupe;Influ sociale;Percept senso;Nb file;Faim;Stress;Nb convives;Ami 1;Ami 2;Ami 3;Ami 4;Ami 5;Ami 6;Ami 7;Ami 8;Ami 9;Ami 10;Ami 11;Ami 12;Ami 13;Ami 14;Ami 15;Ami 16;Ami 17;onehot_fruits;onehot_fromage;onehot_saladefeculents;onehot_crudites;onehot_charcuterie;onehot_viande;onehot_poisson;onehot_vege;onehot_yaourt;onehot_dessertgourmand;onehot_cremedessert;onehot_accompagnement
0A2A;1.0;20.0;1.755;51.0;15.0;3.0;1.0;0.0;2.0;2;1.0;2.0;1.0;1.0;1.0;0;1.0;0.0;2.0;0.0;2.0;7F8H;;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;1;0;0;1
0A4U;1.0;19.0;1.78;59.0;20.0;0.0;0.0;0.0;2.0;2;1.0;6.0;1.0;1.0;1.0;0;3.0;0.0;2.0;0.0;5.0;0R4C;6O4Y;0S0Q;2U4F;;;;;;;;;;;;;;0;0;0;1;0;1;0;0;1;0;0;1
0A8B;0.0;21.0;1.65;50.0;20.0;0.0;0.0;0.0;2.0;1;1.0;7.0;1.0;1.0;1.0;1;3.0;1.0;2.0;2.0;7.0;0F7G;9A0P;3T0P;9F9T;8I1P;4M3X;;;;;;;;;;;;0;0;0;0;0;1;0;0;1;0;0;1
0B2M;1.0;18.0;1.78;65.0;20.0;1.0;0.0;0.0;2.0;1;1.0;2.0;1.0;1.0;1.0;0;2.0;1.0;2.0;1.0;2.0;7G6O;;;;;;;;;;;;;;;;;0;0;0;0;1;1;0;0;1;0;0;1
0C8K;1.0;18.0;1.87;83.0;25.0;3.0;0.0;0.0;2.0;0;1.0;2.0;1.0;1.0;1.0;0;0.0;1.0;2.0;1.0;2.0;6Y2Q;;;;;;;;;;;;;;;;;1;0;0;0;0;1;0;0;1;0;0;1
0E2X;1.0;21.0;1.9;85.0;25.0;2.0;0.0;0.0;2.0;2;1.0;3.0;1.0;1.0;1.0;1;2.0;2.0;2.0;1.0;3.0;5G9R;0M0L;;;;;;;;;;;;;;;;0;0;1;0;0;1;0;0;0;1;0;1
0G1P;0.0;21.0;1.66;54.0;20.0;2.0;0.0;1.0;2.0;4;1.0;2.0;1.0;1.0;1.0;2;2.0;0.0;1.0;0.0;2.0;5C9D;;;;;;;;;;;;;;;;;1;0;0;1;0;1;0;0;0;0;0;1
0G5M;1.0;22.0;1.75;50.0;15.0;0.0;0.0;0.0;2.0;0;1.0;5.0;1.0;1.0;1.0;0;2.0;0.0;3.0;0.0;3.0;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;1;0;0;1
0H2B;1.0;20.0;1.86;75.0;20.0;2.0;0.0;0.0;1.0;1;1.0;6.0;1.0;1.0;1.0;0;3.0;1.0;2.0;0.0;3.0;4S3S;1J8K;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;1;1;0;1
0H5L;0.0;21.0;1.71;56.0;20.0;2.0;0.0;0.0;2.0;2;1.0;4.0;0.0;0.0;0.0;0;0.0;0.0;3.0;2.0;14.0;4O8C;1Y7U;2J2X;8Q9F;9X1Z;1S8D;7N0N;3S5G;1A9V;6A4U;4R8R;9C8Y;7R7Y;;;;;0;1;0;1;0;0;1;0;0;1;0;1
0H8R;0.0;22.0;1.57;45.0;20.0;1.0;0.0;0.0;2.0;0;0.0;6.0;1.0;1.0;1.0;0;0.0;0.0;3.0;0.0;6.0;1Y9W;6V9Q;4H1X;1C3K;8N4I;;;;;;;;;;;;;0;0;0;0;0;0;0;1;0;0;0;1
