,Numéro de formulaire,Genre,Age,Taille,Poids,IMC,Activité physique,Régime particulier,Végé,Fréquence CROUS,Equilibre alim,Seule ou en groupe,Nb groupe entrée,Proximité,Connaissance,Parti groupe,Influ sociale,Percept senso,Nb file,Faim,Stress,Nb convives,Ami 1,Ami 2,Ami 3,Ami 4,Ami 5,Ami 6,Ami 7,Ami 8,Ami 9,Ami 10,Ami 11,Ami 12,Ami 13,Ami 14,Ami 15,Ami 16,Ami 17,ENTREE_1,ENTREE_2,ENTREE_3,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2,DESSERT_3,Horodateur
0,C02,1.0,,,,,,0.0,,1.0,3,,,,1.0,,1,0.0,1.0,2.0,,,C01,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladesoja,,,cabillaud,semoule,,fruit,,,12:39
1,C19,1.0,,,,,,1.0,,2.0,3,,,,0.0,,1,0.0,0.0,2.0,,,C20,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,carottes,,,lasagnesvg,,,yaourt,,,12:17
2,C21,0.0,,,,,,0.0,,2.0,0,,,,1.0,,1,1.0,1.0,2.0,,,C22,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,chipo,semoule,,donut,,,12:48
3,C17,0.0,,,,,,1.0,,2.0,3,,,,,,2,,2.0,3.0,,,C18,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,pizza,,,,,,12:26
4,C22,1.0,,,,,,0.0,,2.0,3,,,,1.0,,2,1.0,1.0,2.0,,,C21,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladesoja,,,lasagnesvg,,,crèmedessert,,,12:47
5,C25,1.0,,,,,,0.0,,2.0,1,,,,1.0,,1,3.0,2.0,3.0,,,C24,C26,C27,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,carottes,,,cabillaud,semoule,,fruit,,,12:25
6,C24,0.0,,,,,,0.0,,2.0,3,,,,0.0,,1,2.0,2.0,,,,C25,C26,C27,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladeriz,,,chipo,semoule,,donut,,,12:25
7,C29,1.0,,,,,,0.0,,2.0,3,,,,1.0,,1,0.0,,2.0,,,C33,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,carottes,,,chipo,semoule,,fruit,,,12:16
8,C26,1.0,,,,,,0.0,,1.0,3,,,,1.0,,1,2.0,0.0,1.0,,,C24,C25,C27,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladeriz,,,cabillaud,semoule,,fruit,,,12:26
9,C30,1.0,,,,,,0.0,,2.0,1,,,,1.0,,1,2.0,2.0,2.0,,,C31,C32,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,chipo,semoule,,yaourt,,,12:18
10,C31,1.0,,,,,,0.0,,0.0,0,,,,1.0,,2,2.0,1.0,2.0,,,C30,C32,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,chipo,semoule,,emmental,,,12:19
11,C32,1.0,,,,,,0.0,,0.0,2,,,,1.0,,1,2.0,0.0,2.0,,,C30,C31,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,carottes,,,chipo,semoule,,yaourt,,,12:19
12,A03,1.0,,,,,,1.0,,2.0,1,,,,1.0,,2,2.0,0.0,3.0,,,A02,A01,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladesoja,,,lasagnesvg,,,tartefrboisesananas,,,12:18
13,A02,0.0,,,,,,0.0,,2.0,1,,,,1.0,,2,2.0,1.0,1.0,,,A01,A03,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladesoja,,,lasagnesvg,,,yaourt,,,12:19
14,A01,,,,,,,1.0,,2.0,3,,,,1.0,,1,2.0,0.0,2.0,,,A03,A02,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,carottes,,,lasagnesvg,,,fruit,,,12:18
15,A16,0.0,,,,,,0.0,,2.0,3,,,,1.0,,1,3.0,2.0,1.0,,,A15,A17,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,lasagnesvg,,,fruit,,,12:30
16,A17,1.0,,,,,,0.0,,2.0,4,,,,1.0,,1,3.0,2.0,3.0,,,A16,A15,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladesoja,,,lasagnesvg,,,fruit,,,12:30
17,A15,1.0,,,,,,0.0,,1.0,4,,,,0.0,,1,3.0,1.0,3.0,,,A17,A16,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,carottes,,,chipo,semoule,,moussechocolat,,,12:30
18,A22,1.0,,,,,,0.0,,2.0,3,,,,1.0,,1,3.0,1.0,2.0,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saucisson,,,lasagnesvg,,,yaourt,,,12:30
19,A29,1.0,,,,,,0.0,,0.0,3,,,,1.0,,1,2.0,0.0,1.0,,,A26,A27,A28,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,chipo,semoule,,yaourt,,,12:24
20,A24,1.0,,,,,,0.0,,2.0,1,,,,1.0,,2,3.0,2.0,3.0,,,A25,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saucisson,,,chipo,semoule,,moussechocolat,,,12:29
21,A25,0.0,,,,,,0.0,,2.0,2,,,,1.0,,1,1.0,2.0,2.0,,,A24,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saucisson,,,chipo,semoule,,fruit,,,12:29
22,A28,0.0,,,,,,0.0,,0.0,2,,,,1.0,,1,2.0,1.0,2.0,,,A26,A27,A29,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,chipo,semoule,,fruit,,,14:24
23,A26,0.0,,,,,,0.0,,0.0,3,,,,1.0,,1,2.0,0.0,1.0,,,A27,A28,A29,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,chipo,semoule,,yaourt,,,12:24
24,A27,1.0,,,,,,0.0,,0.0,2,,,,1.0,,2,1.0,2.0,2.0,,,A26,A28,A29,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saucisson,,,chipo,semoule,,yaourt,,,12:24
25,A34,1.0,,,,,,0.0,,2.0,1,,,,1.0,,1,3.0,1.0,3.0,,,A35,A37,A36,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,chipo,semoule,,fruit,,,12:35
26,A33,0.0,,,,,,0.0,,2.0,3,,,,1.0,,1,3.0,1.0,2.0,,,A32,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,carottes,,,cabillaud,semoule,,yaourt,,,12:44
27,A32,0.0,,,,,,1.0,,2.0,3,,,,0.0,,1,2.0,2.0,3.0,,,A33,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,carottes,,,cabillaud,semoule,,emmental,,,12:44
28,A40,1.0,,,,,,1.0,,2.0,2,,,,0.0,,1,2.0,1.0,1.0,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,cabillaud,semoule,,,,,12:28
