,Numéro de formulaire,Genre,Age,Taille,Poids,IMC,Activité physique,Régime particulier,Végé,Fréquence CROUS,Equilibre alim,Seule ou en groupe,Nb groupe entrée,Proximité,Connaissance,Parti groupe,Influ sociale,Percept senso,Nb file,Faim,Stress,Nb convives,Ami 1,Ami 2,Ami 3,Ami 4,Ami 5,Ami 6,Ami 7,Ami 8,Ami 9,Ami 10,Ami 11,Ami 12,Ami 13,Ami 14,Ami 15,Ami 16,Ami 17,ENTREE_1,ENTREE_2,ENTREE_3,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2,DESSERT_3,Horodateur
0,B23,1.0,,,,,,0.0,,2.0,3,,,,1.0,,1,1.0,,3,,,B25,B24,B19,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,oeufmayo,,,escalopedeporc,pommedeterre,,yaourt,,,11:35:32
1,B25,1.0,,,,,,0.0,,2.0,0,,,,1.0,,1,3.0,,3,,,B23,B24,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,oeufmayo,,,escalopedeporc,pommedeterre,,tartechocolat,,,11:36:00
2,B19,1.0,,,,,,0.0,,2.0,0,,,,1.0,,1,0.0,,2,,,B23,B25,B24,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,oeufmayo,,,escalopedeporc,pommedeterre,,tartechocolat,,,11:38:24
3,B21,1.0,,,,,,0.0,,1.0,2,,,,1.0,,1,2.0,,2,,,B20,B22,B24,B17,B18,B19,B23,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,,,,,11:40:42
4,B15,0.0,,,,,,0.0,,2.0,2,,,,1.0,,1,3.0,,1,,,B16,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,,tartechocolat,,,11:41:45
5,B26,0.0,,,,,,0.0,,1.0,3,,,,0.0,,2,3.0,,3,,,B27,B28,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,grillades,,,tartechocolat,,,11:43:26
6,B17,1.0,,,,,,0.0,,1.0,3,,,,0.0,,1,2.0,,2,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,oeufmayo,,,tartesaumon,pommedeterre,,,,,11:43:27
7,B24,1.0,,,,,,0.0,,2.0,3,,,,1.0,,1,3.0,,3,,,B23,B25,B19,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,oeufmayo,,,escalopedeporc,pommedeterre,,yaourt,,,11:43:56
8,B28,1.0,,,,,,1.0,,1.0,3,,,,1.0,,1,3.0,,1,,,B26,B27,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,oeufmayo,,,tartesaumon,pommedeterre,,,,,11:44:10
9,B14,,,,,,,0.0,,2.0,4,,,,0.0,,1,1.0,,2,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,tartesaumon,pommedeterre,poeleemeridionale,fruit,,,11:44:39
10,B27,1.0,,,,,,1.0,,2.0,4,,,,1.0,,1,3.0,,3,,,B26,B28,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,tartesaumon,pommedeterre,,,,,11:45:15
11,B13,0.0,,,,,,0.0,,,2,,,,0.0,,1,1.0,,3,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,tartesaumon,pommedeterre,,madeleine,,,11:46:19
12,B16,0.0,,,,,,0.0,,2.0,3,,,,1.0,,1,1.0,,1,,,B15,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,tartesaumon,pommedeterre,,yaourt,,,11:46:36
13,B22,,,,,,,0.0,,2.0,2,,,,1.0,,1,1.0,,1,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,,yaourt,,,11:47:07
14,B18,1.0,,,,,,0.0,,2.0,2,,,,1.0,,1,2.0,,1,,,B20,B21,B22,B17,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,,fruit,,,11:47:20
15,B12,1.0,,,,,,1.0,,2.0,3,,,,0.0,,1,3.0,,3,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,betteravespommesechalotes,,,tartesaumon,pommedeterre,,,,,11:48:17
16,B11,1.0,,,,,,0.0,,2.0,3,,,,0.0,,1,3.0,,1,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,oeufmayo,,,,,,,,,11:50:24
17,B08,1.0,,,,,,0.0,,1.0,3,,,,0.0,,1,2.0,,1,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,tomates,,,escalopedeporc,pommedeterre,poeleemeridionale,madeleine,,,12:00:43 PM
18,B09,1.0,,,,,,,,1.0,1,,,,0.0,,1,1.0,,1,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,frites,,,,,,12:02:42 PM
19,B07,1.0,,,,,,0.0,,2.0,3,,,,1.0,,1,2.0,,2,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,oeufmayo,,,escalopedeporc,pommedeterre,,,,,12:04:13 PM
20,B06,1.0,,,,,,1.0,,2.0,2,,,,0.0,,1,0.0,,2,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,grillades,,,,,,12:05:03 PM
21,B01,0.0,,,,,,0.0,,2.0,3,,,,1.0,,1,1.0,,2,,,B02,B03,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,,yaourt,,,12:06:59 PM
22,B03,1.0,,,,,,0.0,,2.0,3,,,,1.0,,1,0.0,,2,,,B02,B01,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,pizzaentree,,,escalopedeporc,pommedeterre,,fruit,,,12:07:08 PM
23,B04,1.0,,,,,,0.0,,1.0,2,,,,1.0,,1,2.0,,2,,,B05,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,pizza,,,,,,12:10:16 PM
24,B05,1.0,,,,,,0.0,,2.0,0,,,,1.0,,1,1.0,,2,,,B04,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,pizza,,,,,,12:10:21 PM
25,A97,1.0,,,,,,0.0,,0.0,3,,,,1.0,,1,3.0,,3,,,A92,A93,A94,A95,A96,A98,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,betteravespommesechalotes,,,escalopedeporc,pommedeterre,poeleemeridionale,fromage,,,12:11:14 PM
26,A96,0.0,,,,,,0.0,,0.0,4,,,,1.0,,1,2.0,,3,,,A93,A94,A95,A97,A92,A98,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,poeleemeridionale,,fruit,,,12:11:18 PM
27,A88,1.0,,,,,,,,2.0,2,,,,1.0,,2,2.0,,3,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,oeufmayo,,,tartesaumon,pommedeterre,,tartechocolat,,,12:13:02 PM
28,A95,0.0,,,,,,0.0,,1.0,3,,,,1.0,,1,2.0,,2,,,A94,A93,A98,A96,A97,A92,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,betteravespommesechalotes,,,gnocchispestovege,,,yaourt,,,12:13:38 PM
29,A93,1.0,,,,,,1.0,,,2,,,,1.0,,1,1.0,,2,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,,,,,12:14:00 PM
30,A98,1.0,,,,,,0.0,,0.0,3,,,,1.0,,1,2.0,,2,,,A97,A96,A93,A94,A95,A92,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,tomates,,,escalopedeporc,pommedeterre,poeleemeridionale,yaourt,,,12:14:04 PM
31,A87,0.0,,,,,,1.0,,0.0,3,,,,1.0,,1,3.0,,0,,,A86,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,tomates,,,gnocchispestovege,,,,,,12:15:01 PM
32,A86,1.0,,,,,,1.0,,0.0,2,,,,1.0,,2,2.0,,2,,,A87,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,tomates,,,gnocchispestovege,,,,,,12:15:14 PM
33,A85,1.0,,,,,,1.0,,2.0,3,,,,1.0,,1,1.0,,2,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,tartesaumon,pommedeterre,,yaourt,,,12:15:31 PM
34,A90,0.0,,,,,,1.0,,1.0,3,,,,0.0,,1,2.0,,0,,,A88,A90,A89,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,tomates,,,gnocchispestovege,,,fruit,,,12:16:04 PM
35,A84,1.0,,,,,,0.0,,1.0,0,,,,0.0,,1,0.0,,0,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,grillades,,,tartechocolat,,,12:16:38 PM
36,A94,0.0,,,,,,0.0,,0.0,3,,,,0.0,,1,2.0,,2,,,A95,A93,A98,A96,A97,A92,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,grillades,,,yaourt,,,12:17:03 PM
37,A83,1.0,,,,,,1.0,,1.0,4,,,,0.0,,1,,,3,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,betteravespommesechalotes,,,tartesaumon,pommedeterre,,,,,12:17:21 PM
38,A89,1.0,,,,,,1.0,,2.0,1,,,,1.0,,1,2.0,,1,,,A91,A90,A88,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,oeufmayo,,,gnocchispestovege,,,yaourt,,,12:18:03 PM
39,A82,1.0,,,,,,1.0,,2.0,2,,,,0.0,,1,1.0,,1,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladepommedeterre,,,tartesaumon,pommedeterre,poeleemeridionale,tartechocolat,,,12:18:48 PM
40,A80,1.0,,,,,,0.0,,2.0,2,,,,0.0,,1,2.0,,2,,,A81,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,oeufmayo,,,tartesaumon,pommedeterre,poeleemeridionale,yaourt,,,12:19:21 PM
41,A80,1.0,,,,,,,,2.0,3,,,,0.0,,1,1.0,,2,,,A80,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,betteravespommesechalotes,,,tartesaumon,pommedeterre,,fruit,,,12:19:31 PM
42,A91,0.0,,,,,,,,2.0,3,,,,1.0,,2,2.0,,1,,,A89,A88,A90,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,oeufmayo,,,tartesaumon,pommedeterre,,fruit,,,12:19:59 PM
43,A77,0.0,,,,,,1.0,,2.0,3,,,,1.0,,2,3.0,,3,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,tartesaumon,pommedeterre,poeleemeridionale,tartechocolat,,,12:22:11 PM
44,A78,1.0,,,,,,0.0,,0.0,1,,,,1.0,,2,2.0,,1,,,A79,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,grillades,,,,,,12:24:36 PM
