;Numéro de formulaire;Genre;Age;Taille;Poids;IMC;Activité physique;Régime particulier;Végé;Fréquence CROUS;Equilibre alim;Seule ou en groupe;Nb groupe entrée;Proximité;Connaissance;Parti groupe;Influ sociale;Percept senso;Nb file;Faim;Stress;Nb convives;Ami 1;Ami 2;Ami 3;Ami 4;Ami 5;Ami 6;Ami 7;Ami 8;Ami 9;Ami 10;Ami 11;Ami 12;Ami 13;Ami 14;Ami 15;Ami 16;Ami 17;Horodateur;saladesoja;carottes;saladeriz;saucisson;endives;sardines;cabillaud;lasagnesvg;chipo;pizza;burger;semoule;frites;fruit;yaourt;donut;crèmedessert;emmental;tartefrboisesananas;moussechocolat;chaource
0;C02;1.0;;;;;;0.0;;1.0;3;;;;1.0;;1;0.0;1.0;2.0;;;C01;;;;;;;;;;;;;;;;;12:39;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
1;C19;1.0;;;;;;1.0;;2.0;3;;;;0.0;;1;0.0;0.0;2.0;;;C20;;;;;;;;;;;;;;;;;12:17;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2;C21;0.0;;;;;;0.0;;2.0;0;;;;1.0;;1;1.0;1.0;2.0;;;C22;;;;;;;;;;;;;;;;;12:48;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
3;C17;0.0;;;;;;1.0;;2.0;3;;;;;;2;;2.0;3.0;;;C18;;;;;;;;;;;;;;;;;12:26;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
4;C22;1.0;;;;;;0.0;;2.0;3;;;;1.0;;2;1.0;1.0;2.0;;;C21;;;;;;;;;;;;;;;;;12:47;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
5;C25;1.0;;;;;;0.0;;2.0;1;;;;1.0;;1;3.0;2.0;3.0;;;C24;C26;C27;;;;;;;;;;;;;;;12:25;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
6;C24;0.0;;;;;;0.0;;2.0;3;;;;0.0;;1;2.0;2.0;;;;C25;C26;C27;;;;;;;;;;;;;;;12:25;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
7;C29;1.0;;;;;;0.0;;2.0;3;;;;1.0;;1;0.0;;2.0;;;C33;;;;;;;;;;;;;;;;;12:16;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
8;C26;1.0;;;;;;0.0;;1.0;3;;;;1.0;;1;2.0;0.0;1.0;;;C24;C25;C27;;;;;;;;;;;;;;;12:26;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
9;C30;1.0;;;;;;0.0;;2.0;1;;;;1.0;;1;2.0;2.0;2.0;;;C31;C32;;;;;;;;;;;;;;;;12:18;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
10;C31;1.0;;;;;;0.0;;0.0;0;;;;1.0;;2;2.0;1.0;2.0;;;C30;C32;;;;;;;;;;;;;;;;12:19;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
11;C32;1.0;;;;;;0.0;;0.0;2;;;;1.0;;1;2.0;0.0;2.0;;;C30;C31;;;;;;;;;;;;;;;;12:19;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
12;A03;1.0;;;;;;1.0;;2.0;1;;;;1.0;;2;2.0;0.0;3.0;;;A02;A01;;;;;;;;;;;;;;;;12:18;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
13;A02;0.0;;;;;;0.0;;2.0;1;;;;1.0;;2;2.0;1.0;1.0;;;A01;A03;;;;;;;;;;;;;;;;12:19;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
14;A01;;;;;;;1.0;;2.0;3;;;;1.0;;1;2.0;0.0;2.0;;;A03;A02;;;;;;;;;;;;;;;;12:18;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
15;A16;0.0;;;;;;0.0;;2.0;3;;;;1.0;;1;3.0;2.0;1.0;;;A15;A17;;;;;;;;;;;;;;;;12:30;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
16;A17;1.0;;;;;;0.0;;2.0;4;;;;1.0;;1;3.0;2.0;3.0;;;A16;A15;;;;;;;;;;;;;;;;12:30;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
17;A15;1.0;;;;;;0.0;;1.0;4;;;;0.0;;1;3.0;1.0;3.0;;;A17;A16;;;;;;;;;;;;;;;;12:30;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0
18;A22;1.0;;;;;;0.0;;2.0;3;;;;1.0;;1;3.0;1.0;2.0;;;;;;;;;;;;;;;;;;;;12:30;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
19;A29;1.0;;;;;;0.0;;0.0;3;;;;1.0;;1;2.0;0.0;1.0;;;A26;A27;A28;;;;;;;;;;;;;;;12:24;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
20;A24;1.0;;;;;;0.0;;2.0;1;;;;1.0;;2;3.0;2.0;3.0;;;A25;;;;;;;;;;;;;;;;;12:29;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0
21;A25;0.0;;;;;;0.0;;2.0;2;;;;1.0;;1;1.0;2.0;2.0;;;A24;;;;;;;;;;;;;;;;;12:29;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
22;A28;0.0;;;;;;0.0;;0.0;2;;;;1.0;;1;2.0;1.0;2.0;;;A26;A27;A29;;;;;;;;;;;;;;;14:24;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
23;A26;0.0;;;;;;0.0;;0.0;3;;;;1.0;;1;2.0;0.0;1.0;;;A27;A28;A29;;;;;;;;;;;;;;;12:24;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
24;A27;1.0;;;;;;0.0;;0.0;2;;;;1.0;;2;1.0;2.0;2.0;;;A26;A28;A29;;;;;;;;;;;;;;;12:24;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
