Unnamed: 0,Horodateur,Numéro de formulaire,ENTREE_1,ENTREE_2,ENTREE_3,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2,DESSERT_3,Heure départ,Genre,Regime,Fréquentation,Faim,Connaissances,Influence,Influence aspect,Quantité,Equilibré,Aspect,Convive 1,Convive 2,Convive 3,Convive 4,Convive 5,Convive 6,Convive 7,Convive 8,Unnamed: 27
0,11:35:32,B23,oeufmayo,,,escalopedeporc,pommedeterre,,yaourt,,,12:06,Homme,non,>3,10.0,oui,non,non,5.0,7.0,4.0,B25,B24,B19,,,,,,
1,11:36:00,B25,oeufmayo,,,escalopedeporc,pommedeterre,,tartechocolat,,,12:06,Homme,non,>3,10.0,oui,non,oui,7.0,2.0,10.0,B23,B24,,,,,,,
2,11:38:24,B19,oeufmayo,,,escalopedeporc,pommedeterre,,tartechocolat,,,12:10,Homme,non,>3,7.0,oui,non,non,0.0,0.0,0.0,B23,B25,B24,,,,,,
3,11:40:13,B20,oeufmayo,,,escalopedeporc,pommedeterre,,,,,,,,,,,,,,,,,,,,,,,,
4,11:40:42,B21,,,,escalopedeporc,pommedeterre,,,,,12:10,Homme,non,1à3,6.0,oui,non,oui,5.0,6.0,7.0,B20,B22,B24,B17,B18,B19,B23,,
5,11:41:45,B15,,,,escalopedeporc,pommedeterre,,tartechocolat,,,12:10,Femme,non,>3,5.0,oui,non,non,4.0,5.0,8.0,B16,,,,,,,,
6,11:43:26,B26,,,,grillades,,,tartechocolat,,,12:04:00,Femme,non,1à3,10.0,non,oui,oui,8.0,7.0,10.0,B27,B28,,,,,,,
7,11:43:27,B17,oeufmayo,,,tartesaumon,pommedeterre,,,,,12:11,Homme,non,1à3,7.0,non,non,non,8.0,8.0,6.0,,,,,,,,,
8,11:43:56,B24,oeufmayo,,,escalopedeporc,pommedeterre,,yaourt,,,12:06,Homme,non,>3,10.0,oui,non,non,9.0,7.0,8.0,B23,B25,B19,,,,,,
9,11:44:10,B28,oeufmayo,,,tartesaumon,pommedeterre,,,,,12:04:00,Homme,oui,1à3,4.0,oui,non,non,9.0,8.0,9.0,B26,B27,,,,,,,
10,11:44:39,B14,,,,tartesaumon,pommedeterre,poeleemeridionale,fruit,,,12:20,NB,non,>3,7.0,non,non,oui,7.0,9.0,5.0,,,,,,,,,
11,11:45:15,B27,,,,tartesaumon,pommedeterre,,,,,12:04:00,Homme,oui,>3,8.0,oui,non,oui,8.0,9.0,9.0,B26,B28,,,,,,,
12,11:46:19,B13,,,,tartesaumon,pommedeterre,,madeleine,,,11:51,Femme,non,,8.0,non,non,oui,3.0,6.0,4.0,,,,,,,,,
13,11:46:36,B16,,,,tartesaumon,pommedeterre,,yaourt,,,12:10,Femme,non,>3,5.0,oui,non,oui,6.0,7.0,5.0,B15,,,,,,,,
14,11:47:07,B22,,,,escalopedeporc,pommedeterre,,yaourt,,,12:06,,non,>3,5.0,oui,non,oui,0.0,5.0,4.0,,,,,,,,,
15,11:47:20,B18,,,,escalopedeporc,pommedeterre,,fruit,,,12:06,Homme,non,>3,5.0,oui,non,oui,10.0,6.0,7.0,B20,B21,B22,B17,,,,,
16,11:47:54,B22,,,,escalopedeporc,pommedeterre,,yaourt,,,,,,,,,,,,,,,,,,,,,,
17,11:48:17,B12,betteravespommesechalotes,,,tartesaumon,pommedeterre,,,,,12:02,Homme,oui,>3,8.0,non,non,oui,9.0,8.0,9.0,,,,,,,,,
18,11:50:24,B11,oeufmayo,,,,,,,,,12:03,Homme,non,>3,4.0,non,non,oui,7.0,8.0,8.0,,,,,,,,,
19,11:59:41,,pizzaentree,,,escalopedeporc,pommedeterre,poeleemeridionale,pecheausirop,,,,,,,,,,,,,,,,,,,,,,
20,12:00:43 PM,B08,tomates,,,escalopedeporc,pommedeterre,poeleemeridionale,madeleine,,,12:40,Homme,non,1à3,4.0,non,non,oui,5.0,8.0,7.0,,,,,,,,,
21,12:02:42 PM,B09,,,,frites,,,,,,13:07,Homme,,1à3,4.0,non,non,non,4.0,4.0,4.0,,,,,,,,,
22,12:04:13 PM,B07,oeufmayo,,,escalopedeporc,pommedeterre,,,,,12:29,Homme,non,>3,7.0,oui,non,oui,5.0,7.0,6.0,,,,,,,,,
23,12:05:03 PM,B06,,,,grillades,,,,,,12:22,Homme,oui,>3,6.0,non,non,non,5.0,6.0,1.0,,,,,,,,,
24,12:06:36 PM,B03,,,,escalopedeporc,pommedeterre,,yaourt,,,,,,,,,,,,,,,,,,,,,,
25,12:06:59 PM,B01,,,,escalopedeporc,pommedeterre,,yaourt,,,12:37,Femme,non,>3,6.0,oui,non,oui,,7.0,5.0,B02,B03,,,,,,,
26,12:07:08 PM,B03,pizzaentree,,,escalopedeporc,pommedeterre,,fruit,,,12:37,Homme,non,>3,6.0,oui,non,oui,0.0,7.0,2.0,B02,B01,,,,,,,
27,12:07:59 PM,A99,,,,escalopedeporc,pommedeterre,,,,,,,,,,,,,,,,,,,,,,,,
28,12:10:16 PM,B04,,,,pizza,,,,,,12:29,Homme,non,1à3,7.0,oui,non,non,8.0,5.0,7.0,B05,,,,,,,,
29,12:10:21 PM,B05,,,,pizza,,,,,,12:29,Homme,non,>3,7.0,oui,non,oui,7.0,0.0,5.0,B04,,,,,,,,
30,12:11:14 PM,A97,betteravespommesechalotes,,,escalopedeporc,pommedeterre,poeleemeridionale,fromage,,,12:41,Homme,non,<1,10.0,oui,non,oui,8.0,8.0,8.0,A92,A93,A94,A95,A96,A98,,,
31,12:11:18 PM,A96,,,,escalopedeporc,poeleemeridionale,,fruit,,,12:41,Femme,non,<1,9.0,oui,non,oui,10.0,10.0,7.0,A93,A94,A95,A97,A92,A98,,,
32,12:13:02 PM,A88,oeufmayo,,,tartesaumon,pommedeterre,,tartechocolat,,,12:08,Homme,,>3,8.0,oui,oui,oui,7.0,6.0,6.0,,,,,,,,,
33,12:13:38 PM,A95,betteravespommesechalotes,,,gnocchispestovege,,,yaourt,,,12:41,Femme,non,>1,6.0,oui,non,non,0.0,8.0,6.0,A94,A93,A98,A96,A97,A92,,,
34,12:14:00 PM,A93,,,,escalopedeporc,pommedeterre,,,,,12:41,Homme,oui,,6.0,oui,non,oui,5.0,5.0,5.0,,,,,,,,,
35,12:14:04 PM,A98,tomates,,,escalopedeporc,pommedeterre,poeleemeridionale,yaourt,,,12:41,Homme,non,<1,7.0,oui,non,oui,8.0,8.0,7.0,A97,A96,A93,A94,A95,A92,,,
36,12:14:34 PM,A92,,,,escalopedeporc,pommedeterre,,,,,,,,,,,,,,,,,,,,,,,,
37,12:15:01 PM,A87,tomates,,,gnocchispestovege,,,,,,13:01,Femme,oui,<1,3.0,oui,non,oui,0.0,7.0,8.0,A86,,,,,,,,
38,12:15:14 PM,A86,tomates,,,gnocchispestovege,,,,,,13:01,Homme,oui,<1,6.0,oui,oui,non,4.0,6.0,6.0,A87,,,,,,,,
39,12:15:31 PM,A85,,,,tartesaumon,pommedeterre,,yaourt,,,12:44,Homme,oui,>3,7.0,oui,non,oui,7.0,8.0,5.0,,,,,,,,,
40,12:16:04 PM,A90,tomates,,,gnocchispestovege,,,fruit,,,13:08,Femme,oui,>1,2.0,non,non,non,4.0,8.0,7.0,A88,A90,A89,,,,,,
41,12:16:38 PM,A84,,,,grillades,,,tartechocolat,,,12:36,Homme,non,1à3,3.0,non,non,non,3.0,0.0,2.0,,,,,,,,,
42,12:17:03 PM,A94,,,,grillades,,,yaourt,,,12:32,Femme,non,<1,6.0,non,non,oui,0.0,8.0,6.0,A95,A93,A98,A96,A97,A92,,,
43,12:17:21 PM,A83,betteravespommesechalotes,,,tartesaumon,pommedeterre,,,,,12:31,Homme,oui,1à3,9.0,non,non,,10.0,9.0,,,,,,,,,,
44,12:18:03 PM,A89,oeufmayo,,,gnocchispestovege,,,yaourt,,,13:08,Homme,oui,>3,5.0,oui,non,oui,6.0,3.0,7.0,A91,A90,A88,,,,,,
45,12:18:48 PM,A82,saladepommedeterre,,,tartesaumon,pommedeterre,poeleemeridionale,tartechocolat,,,12:42,Homme,oui,>3,5.0,non,non,oui,2.0,6.0,5.0,,,,,,,,,
46,12:19:21 PM,A80,oeufmayo,,,tartesaumon,pommedeterre,poeleemeridionale,yaourt,,,12:46,Homme,non,>3,7.0,non,non,oui,9.0,6.0,7.0,A81,,,,,,,,
47,12:19:31 PM,A80,betteravespommesechalotes,,,tartesaumon,pommedeterre,,fruit,,,12:46,Homme,,>3,6.0,non,non,oui,7.0,7.0,5.0,A80,,,,,,,,
48,12:19:59 PM,A91,oeufmayo,,,tartesaumon,pommedeterre,,fruit,,,13:08,Femme,,>3,5.0,oui,oui,oui,6.0,7.0,6.0,A89,A88,A90,,,,,,
49,12:22:11 PM,A77,,,,tartesaumon,pommedeterre,poeleemeridionale,tartechocolat,,,12:49,Femme,oui,>3,8.0,oui,oui,oui,0.0,7.0,10.0,,,,,,,,,
50,12:24:36 PM,A78,,,,grillades,,,,,,12:50,Homme,non,<1,5.0,oui,oui,non,5.0,3.0,7.0,A79,,,,,,,,
51,12:25:34 PM,A79,,,,pizza,,,,,,12:50,Homme,non,<1,9.0,oui,non,oui,7.0,0.0,7.0,A78,,,,,,,,
52,12:27:58 PM,A76,,,,tartesaumon,pommedeterre,,tartechocolat,,,12:54,Homme,oui,>3,8.0,oui,non,oui,5.0,3.0,6.0,A75,A72,A70,,,,,,
53,12:28:14 PM,A75,,,,tartesaumon,pommedeterre,,tartechocolat,,,12:54,Femme,oui,>3,7.0,oui,non,oui,5.0,4.0,6.0,A76,A72,A70,,,,,,
54,12:28:40 PM,A72,,,,escalopedeporc,pommedeterre,,yaourt,,,12:58,Femme,non,>3,9.0,oui,non,oui,5.0,9.0,10.0,A75,A76,A70,,,,,,
55,12:29:13 PM,A73,,,,tartesaumon,pommedeterre,,tartechocolat,,,13:22,Homme,oui,>3,6.0,oui,non,oui,5.0,7.0,8.0,A74,A71,A72,,,,,,
56,12:29:21 PM,A71,,,,tartesaumon,pommedeterre,poeleemeridionale,yaourt,,,13:22,Homme,non,>3,7.0,oui,oui,oui,5.0,8.0,5.0,A73,A71,A74,,,,,,
57,12:29:50 PM,A74,,,,escalopedeporc,pommedeterre,poeleemeridionale,fruit,,,13:22,Homme,non,>3,6.0,oui,oui,oui,7.0,6.0,10.0,A73,A72,A71,,,,,,
