Unnamed: 0,Horodateur,Numéro de formulaire ,ENTREE_1,ENTREE_2,ENTREE_3,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2,DESSERT_3
0,  12:42:36,6H0H,surimi,,,boeufbourguignon,pommesdeterrevapeur,juliennedelégumes,orange,madeleine,
1,  12:43:25,5G0U,surimi,,,filetdepoulet,pommesdeterrevapeur,,moussenoixdecoco,,
2,  12:45:44,7E3P,chou,,,tajinevégé,,,liégeoiscafé,madeleine,
3,  12:48:23,9W1X,pasdentrée,,,pavédecabillaud,pommesdeterrevapeur,,pommegranny,compote,
4,  12:50:37,9V6K,pasdentrée,,,torsades,pommesdeterrevapeur,,liégeoiscafé,,
5,  12:52:55,8S8P,surimi,,,filetdepoulet,pommesdeterrevapeur,juliennedelégumes,liégeoiscafé,madeleine,
6,  12:53:27,1M4Q,pasdentrée,,,pavédecabillaud,pommesdeterrevapeur,juliennedelégumes,pommegranny,,
7,  12:54:08,7P4Y,chou,,,filetdepoulet,pommesdeterrevapeur,juliennedelégumes,compote,madeleine,
8,  12:55:38,3Q4U,surimi,,,tajinevégé,,,pommegranny,liégeoiscafé,
9,  12:56:42,8S5L,saladelentilles,,,boeufbourguignon,pommesdeterrevapeur,juliennedelégumes,petitsuissenature,madeleine,
10,  12:58:02,1G3P,saladelentilles,,,boeufbourguignon,pommesdeterrevapeur,juliennedelégumes,orange,,
11,  12:58:29,1O2H,saladelentilles,,,filetdepoulet,pommesdeterrevapeur,juliennedelégumes,fromageblanc,compote,
12,  12:58:39,5L2C,saladelentilles,,,boeufbourguignon,pommesdeterrevapeur,juliennedelégumes,pommegranny,liégeoiscafé,
13,  12:58:49,3W9E,pasdentrée,,,filetdepoulet,pommesdeterrevapeur,juliennedelégumes,compote,,
14,  12:59:44,9J2Z,pasdentrée,,,boeufbourguignon,pommesdeterrevapeur,juliennedelégumes,petitsuissenature,liégeoiscafé,compote
15,  12:59:49,0P1K,pasdentrée,,,boeufbourguignon,pommesdeterrevapeur,,liégeoiscafé,,
16,  13:00:07,3H8D,saladelentilles,,,boeufbourguignon,pommesdeterrevapeur,juliennedelégumes,liégeoiscafé,,
17,  13:00:38,0P5K,pasdentrée,,,filetdepoulet,pommesdeterrevapeur,,petitsuissenature,compote,
18,  13:13:36,5I1U,pasdentrée,,,boeufbourguignon,pommesdeterrevapeur,juliennedelégumes,pasdedessert,,
19,  13:13:46,0J8O,pasdentrée,,,tajinevégé,,,pommegranny,liégeoiscafé,compote
20,  13:02:03,5P2B,saladelentilles,chou,,boeufbourguignon,pommesdeterrevapeur,juliennedelégumes,pommegranny,,
21,  13:02:34,4DD9G,chou,,,boeufbourguignon,pommesdeterrevapeur,juliennedelégumes,pommegranny,compote,
22,  13:03:44,0R4X,saladelentilles,carottesrâpées,chou,filetdepoulet,pommesdeterrevapeur,juliennedelégumes,pasdedessert,,
23,  13:04:47,8W4Q,saladelentilles,saladedetomates,,boeufbourguignon,pommesdeterrevapeur,juliennedelégumes,liégeoiscafé,,
24,  13:05:22,8B8H,pasdentrée,,,boeufbourguignon,pommesdeterrevapeur,juliennedelégumes,liégeoiscafé,,
25,  13:05:30,4A1V,pasdentrée,,,boeufbourguignon,pommesdeterrevapeur,juliennedelégumes,pommegranny,liégeoiscafé,
26,  13:05:58,6U3B,pasdentrée,,,boeufbourguignon,pommesdeterrevapeur,juliennedelégumes,pommegranny,madeleine,
27,  13:06:14,7J6U,chou,,,boeufbourguignon,pommesdeterrevapeur,juliennedelégumes,liégeoiscafé,madeleine,
28,  13:06:58,2L2Z,chou,,,pavédecabillaud,pommesdeterrevapeur,juliennedelégumes,pommegranny,,
29,  13:07:10,2E5O,chou,,,pavédecabillaud,pommesdeterrevapeur,,pommegranny,liégeoiscafé,
30,  13:07:19,6C9V,pasdentrée,,,faux-filet,frites,saladeverte,compote,,
31,  13:07:37,2B6T,pasdentrée,,,filetdepoulet,pommesdeterrevapeur,,compote,madeleine,
32,  13:07:41,2Q6Z,pasdentrée,,,boeufbourguignon,pommesdeterrevapeur,juliennedelégumes,compote,madeleine,
33,  13:08:28,6W4Y,saladelentilles,,,boeufbourguignon,pommesdeterrevapeur,juliennedelégumes,liégeoiscafé,madeleine,
34,  13:08:44,0P1I,saladelentilles,,,pavédecabillaud,pommesdeterrevapeur,juliennedelégumes,orange,pommegranny,
35,  13:08:46,6V9Q,pasdentrée,,,tajinevégé,,,madeleine,,
36,  13:09:56,7J8M,pasdentrée,,,tajinevégé,,,pommegranny,compote,madeleine
37,  13:10:32,8N4I,pasdentrée,,,burgervégé,frites,,compote,madeleine,
38,  13:10:46,0H8R,pasdentrée,,,burgervégé,frites,,pasdedessert,,
39,  13:11:05,9B3F,chou,,,pavédecabillaud,pommesdeterrevapeur,juliennedelégumes,pommegranny,madeleine,
40,  13:11:18,1Y9W,pasdentrée,,,burgervégé,frites,,pasdedessert,,
41,  13:11:23,2C0W,chou,,,filetdepoulet,pommesdeterrevapeur,juliennedelégumes,pommegranny,compote,
42,  13:11:47,6T3S,chou,,,pavédecabillaud,pommesdeterrevapeur,juliennedelégumes,pommegranny,compote,
43,  13:12:18,4M6N,pasdentrée,,,tajinevégé,,,madeleine,orange,compote
44,  13:12:27,1C3K,pasdentrée,,,pizza,,,pasdedessert,,
45,  13:12:41,4H1X,pasdentrée,,,pizza,,,pasdedessert,,
46,  13:12:44,0R4J,pasdentrée,,,pavédecabillaud,juliennedelégumes,,compote,madeleine,
47,  13:13:03,3W5V,saladelentilles,chou,,pavédecabillaud,pommesdeterrevapeur,juliennedelégumes,madeleine,,
48,  13:13:29,0Y1T,pasdentrée,,,filetdepoulet,pommesdeterrevapeur,,pommegranny,compote,
49,  13:14:26,9S9J,pasdentrée,,,boeufbourguignon,pommesdeterrevapeur,,compote,,
50,  13:14:48,2U8V,saladelentilles,,,filetdepoulet,pommesdeterrevapeur,juliennedelégumes,compote,madeleine,
51,  13:15:07,7M6P,pasdentrée,,,boeufbourguignon,pommesdeterrevapeur,,compote,madeleine,
52,  13:15:20,7A7P,pasdentrée,,,filetdepoulet,pommesdeterrevapeur,juliennedelégumes,compote,madeleine,
53,  13:15:36,6K3Y,chou,,,filetdepoulet,pommesdeterrevapeur,juliennedelégumes,madeleine,,
54,  13:15:44,2Y1K,pasdentrée,,,filetdepoulet,pommesdeterrevapeur,juliennedelégumes,compote,madeleine,
