Unnamed: 0,Horodateur,Numéro de formulaire,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2
0,  12:30:58,9V8W,rotidelégumesautofu,spaghettis,,pasdedessert,
1,  12:33:56,8B5X,rotidelégumesautofu,spaghettis,,roquefort,pruneauxensirop
2,  12:34:46,6X9F,poissonpané,spaghettis,mousselinedepotiron,crèmepraliné,orange
3,  12:35:27,7B7K,filetdepoulet,spaghettis,mousselinedepotiron,yaourtnaturebio,crèmepraliné
4,  12:35:56,3Q7Q,poissonpané,spaghettis,mousselinedepotiron,banane,
5,  12:36:59,1C8S,poissonpané,spaghettis,mousselinedepotiron,pruneauxensirop,pomme
6,  12:37:48,OL7Y,poissonpané,spaghettis,,roquefort,banane+pomme
7,  12:39:19,9E7A,poissonpané,spaghettis,mousselinedepotiron,yaourtnaturebio,banane
8,  12:40:23,4B5E,poissonpané,spaghettis,mousselinedepotiron,compote,
9,  12:40:41,607K,filetdepoulet,spaghettis,mousselinedepotiron,yaourtnaturebio,pruneauxensirop
10,  12:41:08,9P2T,poissonpané,spaghettis,mousselinedepotiron,cantalaop,kiwi
11,  12:41:48,8X9Z,poissonpané,spaghettis,mousselinedepotiron,roquefort,yaourtnaturebio
12,  12:42:09,1G7J,filetdepoulet,spaghettis,mousselinedepotiron,crèmepraliné,banane
13,  12:42:12,6O7K,filetdepoulet,spaghettis,légumes,yaourtnaturebio,pruneauxensirop
14,  12:43:06,7J8O,filetdepoulet,mousselinedepotiron,,banane,
15,  12:44:22,6V3U,poissonpané,spaghettis,mousselinedepotiron,cantalaop,yaourtnaturebio
16,  12:45:12,7S0F,filetdepoulet,spaghettis,mousselinedepotiron,cantalaop,banane
17,  12:45:15,2J2Y,filetdepoulet,spaghettis,mousselinedepotiron,cantalaop,orange
18,  12:46:04,7I1E,filetdepoulet,spaghettis,mousselinedepotiron,roquefort,
19,  12:48:26,658Q,poissonpané,spaghettis,mousselinedepotiron,cantalaop,
20,  12:48:59,7M4D,rotidelégumesautofu,spaghettis,,pruneauxensirop,pomme
21,  12:49:14,9B8H,entrecôte,frites,salade,pasdedessert,
22,  12:49:52,1Q7I,entrecôte,frites,salade,orange,
23,  12:50:18,4T8H,poissonpané,spaghettis,mousselinedepotiron,roquefort,crèmepraliné
24,  12:50:56,3Y3E,poissonpané,spaghettis,,yaourtnaturebio,compote
25,  12:52:24,8D9G,filetdepoulet,spaghettis,mousselinedepotiron,banane,
26,  12:52:32,5M0T,filetdepoulet,spaghettis,mousselinedepotiron,yaourtnaturebio,pomme
27,  12:53:03,1G7G,poissonpané,spaghettis,,crèmepraliné,
28,  12:53:33,4Z5F,filetdepoulet,spaghettis,,roquefort,yaourtnaturebio
29,  12:53:35,8E0Y,filetdepoulet,spaghettis,,banane,
30,  12:54:07,3Q2Q,poissonpané,spaghettis,mousselinedepotiron,banane,
31,  12:54:38,9R6Y,filetdepoulet,spaghettis,mousselinedepotiron,crèmepraliné,
32,  12:54:39,4F9D,poissonpané,spaghettis,,crèmepraliné,
33,  12:55:38,7K6K,rotidelégumesautofu,spaghettis,,yaourtnaturebio,banane
34,  12:55:40,800N,filetdepoulet,spaghettis,mousselinedepotiron,yaourtnaturebio,
35,  12:56:32,3W7U,poissonpané,spaghettis,mousselinedepotiron,yaourtnaturebio,pomme
36,  12:57:25,4J8L,kebab,frites,,pasdedessert,
37,  12:58:01,0I7G,rotidelégumesautofu,spaghettis,,roquefort,crèmepraliné
38,  12:58:03,2R9X,rotidelégumesautofu,spaghettis,,cantalaop,banane
39,  12:58:27,1U7O,filetdepoulet,spaghettis,mousselinedepotiron,crèmepraliné,pomme
40,  12:58:45,3F4Z,rotidelégumesautofu,spaghettis,,yaourtnaturebio,
41,  12:59:05,4C0V,rotidelégumesautofu,spaghettis,,banane,
42,  12:59:20,0X7C,poissonpané,spaghettis,mousselinedepotiron,yaourtnaturebio,crèmepraliné
43,  12:59:28,3R3M,poissonpané,spaghettis,mousselinedepotiron,banane,
44,  12:59:45,3M6S,poissonpané,mousselinedepotiron,,roquefort,
45,  13:00:06,2Z9A,filetdepoulet,spaghettis,mousselinedepotiron,kiwi,
46,  13:00:08,9A09,filetdepoulet,spaghettis,mousselinedepotiron,kiwi,
47,  13:00:29,0A8B,filetdepoulet,spaghettis,mousselinedepotiron,yaourtnaturebio,
48,  13:01:11,3L2B,kebab,frites,,pasdedessert,
49,  13:01:17,2U2X,filetdepoulet,,,crèmepraliné,
50,  13:01:17,3T0P,rotidelégumesautofu,spaghettis,,pomme,
51,  13:01:34,1I1F,kebab,frites,,pasdedessert,
52,  13:02:09,8A4O,filetdepoulet,spaghettis,,orange,pomme
53,  13:02:18,2Y1M,poissonpané,spaghettis,,yaourtnaturebio,compote
54,  13:03:01,8D5S,filetdepoulet,spaghettis,mousselinedepotiron,banane,pomme
55,  13:03:17,4W5E,poissonpané,spaghettis,mousselinedepotiron,compote,
56,  13:03:38,OW3D,filetdepoulet,spaghettis,mousselinedepotiron,compote,
57,  13:04:09,4U9D,poissonpané,spaghettis,mousselinedepotiron,compote,
58,  13:04:17,7E4C,filetdepoulet,spaghettis,,crèmepraliné,
59,  13:04:30,5W6M,kebab,frites,,roquefort,
60,  13:04:37,7W5Y,poissonpané,spaghettis,,yaourtnaturebio,
61,  13:04:48,OI5C,poissonpané,spaghettis,mousselinedepotiron,orange,
62,  13:05:03,2D7O,poissonpané,spaghettis,mousselinedepotiron,yaourtnaturebio,compote
63,  13:05:14,8J2L,filetdepoulet,spaghettis,mousselinedepotiron,roquefort,
64,  13:05:35,1L4G,poissonpané,spaghettis,,pomme,
65,  13:05:41,1M2Q,kebab,frites,,yaourtnaturebio,
66,  13:05:42,254Q,kebab,salade,,yaourtnaturebio,
