,Unnamed: 0_x,Genre,¬ge,Taille (m),Poids (kg),IMC ,ActivitÈ physique,RÈgime particulier,VÈgÈ,Equilibre alim,Nb groupe entrÈe,ProximitÈ,Influ sociale,Percept senso,Faim,Stress,Nb convives ,Ami 1,Ami 2,Ami 3 ,Ami 4,Ami 5,Unnamed: 0_y,torsades,feuillet√©saumonoseille,boeufbourguignon,kebab,risottocourgettes,pizzaraclette,faux-filet,pizzamerguezpoivrons,hamburger,escalopeviennoise,poel√©ebrocolis,frites,torsadespoel√©ebrocolis,ratatouille,chouxblanc√†lajaponaise,saladelentilles,champignons,carottesr√¢p√©es,oeufmimosa,saladepates,artichauts,salami,coeursdepalmiers,tomates,yaourtauxfruits,≈ìuf√†laneige,faissellenature,yaourtnaturesucr√©,fromageblancfruitsrouges,banane,mimolette,flancchocolat,faissellenatureflancchocolat,orange,yaourtnaturesucr√©yaourtauxfruits,pommegolden,kiwi,Horodateur
2E8L,0,M,20,"1,84",72,"21,26654064",1.5456794047854434,0,0,0.1648749787531096,4,0,-0.6372288490492298,0.4913906275557479,-0.323661595420856,0.0597534681150133,4,2H8Q,,,,,110,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:09:50  
6Z9V,1,M,19,"1,75",79,"25,79591837",-0.6393124239688485,1,0,0.1648749787531096,5,0,-0.6372288490492298,0.4913906275557479,1.0004085676644638,2.2108783202554925,,,,,,,121,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0, 13:15:46  
1P5N,2,M,19,"1,74",74,"24,44180209",0.4531834904082975,1,0,0.1648749787531096,4,0,0.6372288490492298,-0.4562912970160515,-0.323661595420856,1.135315894185253,,,,,,,120,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:15:23  
1L0F,3,M,21,"1,7",51,"17,64705882",-0.0930644667802754,1,0,0.1648749787531096,5,0,-0.6372288490492298,-1.4039732215878509,-0.323661595420856,1.135315894185253,,,,,,,117,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:14:12  
6U1H,4,M,18,"1,78",71,"22,40878677",0.4531834904082975,0,0,0.1648749787531096,4,0,-0.6372288490492298,1.4390725521275474,-0.323661595420856,0.0597534681150133,,,,,,,116,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:13:28  
5I3E,5,M,21,"1,78",66,"20,83070319",0.4531834904082975,0,0,0.1648749787531096,4,1,-0.6372288490492298,1.4390725521275474,1.0004085676644638,1.135315894185253,4,0O5Q,5B2Z,9J6M,,,99,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:05:43  
9J6M,6,M,21,"1,85",68,"19,86851717",-0.6393124239688485,1,1,0.1648749787531096,4,1,1.9116865471476892,0.4913906275557479,1.0004085676644638,0.0597534681150133,4,5B2Z,0O5Q,5I3E,,,90,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:02:52  
5B2Z,7,M,21,"1,95",68,"17,88297173",0.4531834904082975,0,0,-0.8028694617542734,4,1,-0.6372288490492298,-1.4039732215878509,1.0004085676644638,-1.0158089579552263,4,0O5Q,5I3E,9J6M,,,86,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:013:59  
0O5Q,8,M,21,"1,7",70,"24,22145329",-0.6393124239688485,0,0,-0.8028694617542734,4,0,-0.6372288490492298,-0.4562912970160515,-0.323661595420856,-1.0158089579552263,4,5B2Z,5I3E,9J6M,,,88,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 13:02:30  
7U7X,9,F,19,"1,65",60,"22,03856749",0.4531834904082975,1,0,0.1648749787531096,4,0,-0.6372288490492298,1.4390725521275474,-0.323661595420856,1.135315894185253,,,,,,,100,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, 13:05:56  
